candid_str,oid,candid,mjd,fid,diffmaglim,magpsf,magap,sigmapsf,sigmagap,ra,dec,sigmara,sigmadec,isdiffpos,distpsnr1,sgscore1,field,rcid,magnr,sigmagnr,rb,magpsf_corr,magap_corr,sigmapsf_corr,sigmagap_corr,has_stamps,parent_candid
"516434763315010001","ZTF18aavqlpk",516434763315010000,58270.4347684998,2,20.0590038299561,15.8661308288574,15.9049997329712,0.00712362630292773,0.0104000000283122,309.2831763,35.0195625,0.09,0.09,-1,0.319165229797363,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.623333334922791,15.8661308288574,15.9049997329712,0.00712362630292773,0.0104000000283122,"",""
"517454783315010003","ZTF18aavqlpk",517454783315010000,58271.4547800999,2,20.2268524169922,15.8223257064819,15.898699760437,0.00640322407707572,0.00939999986439943,309.283155,35.0195705,0.09,0.09,-1,0.27618220448494,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.699999988079071,15.8223257064819,15.898699760437,0.00640322407707572,0.00939999986439943,"",""
"517477243315010001","ZTF18aavqlpk",517477243315010000,58271.4772454002,1,19.2983169555664,19.4423446655273,19.679500579834,0.172898456454277,0.345800012350082,309.2833039,35.0194963,0.09,0.09,-1,0.722368121147156,0.352764993906021,687,33,18.80299949646,0.025000000372529,0.540000021457672,19.4423446655273,19.679500579834,0.172898456454277,0.345800012350082,"",""
"518400533315010002","ZTF18aavqlpk",518400533315010000,58272.4005323998,1,20.1008529663086,19.5959701538086,19.4465007781982,0.153608039021492,0.213899999856949,309.2832277,35.0196532,0.09,0.09,-1,0.25596359372139,0.352764993906021,687,33,18.80299949646,0.025000000372529,0.563333332538605,19.5959701538086,19.4465007781982,0.153608039021492,0.213899999856949,"",""
"519421573315010004","ZTF18aavqlpk",519421573315010000,58273.4215740999,2,20.4657039642334,15.8032960891724,15.8402996063232,0.0057715093716979,0.00789999961853027,309.2831583,35.0195663,0.09,0.09,-1,0.292657941579819,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.583333313465118,15.8032960891724,15.8402996063232,0.0057715093716979,0.00789999961853027,"",""
"520337833315010008","ZTF18aavqlpk",520337833315010000,58274.3378356001,2,20.5256404876709,15.7676305770874,15.8072996139526,0.00544125540181994,0.00749999983236194,309.283145,35.0195754,0.09,0.09,-1,0.255799233913422,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.540000021457672,15.7676305770874,15.8072996139526,0.00544125540181994,0.00749999983236194,"",""
"520401443315010003","ZTF18aavqlpk",520401443315010000,58274.4014468002,1,20.5151824951172,19.7052307128906,19.6354999542236,0.117002636194229,0.174999997019768,309.283236,35.0195789,0.09,0.09,-1,0.370156943798065,0.352764993906021,687,33,18.80299949646,0.025000000372529,0.75,19.7052307128906,19.6354999542236,0.117002636194229,0.174999997019768,"",""
"521403923315010006","ZTF18aavqlpk",521403923315010000,58275.4039236,2,20.6119956970215,15.7215976715088,15.7600002288818,0.00497810961678624,0.00680000009015203,309.2831625,35.0195794,0.09,0.09,-1,0.249146610498428,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.643333315849304,15.7215976715088,15.7600002288818,0.00497810961678624,0.00680000009015203,"",""
"522390373315010001","ZTF18aavqlpk",522390373315010000,58276.3903704002,1,20.5666103363037,19.7903728485107,19.7162990570068,0.113231524825096,0.167899996042252,309.2831775,35.0195792,0.09,0.09,-1,0.264406800270081,0.352764993906021,687,33,18.80299949646,0.025000000372529,0.763333320617676,19.7903728485107,19.7162990570068,0.113231524825096,0.167899996042252,"",""
"522426183315010007","ZTF18aavqlpk",522426183315010000,58276.4261806002,2,20.5963268280029,15.7468347549438,15.7723999023438,0.00520735327154398,0.00700000021606684,309.283163,35.0195633,0.09,0.09,-1,0.305901527404785,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.653333306312561,15.7468347549438,15.7723999023438,0.00520735327154398,0.00700000021606684,"",""
"523399803315010005","ZTF18aavqlpk",523399803315010000,58277.3998031998,2,20.8183059692383,15.7178049087524,15.7468996047974,0.00483543425798416,0.00659999996423721,309.2831532,35.0195623,0.09,0.09,-1,0.30475702881813,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.533333361148834,15.7178049087524,15.7468996047974,0.00483543425798416,0.00659999996423721,"",""
"523444763315010005","ZTF18aavqlpk",523444763315010000,58277.4447685,1,20.701265335083,19.8610992431641,19.9300994873047,0.11702524125576,0.197799995541573,309.2832378,35.019568,0.09,0.09,-1,0.400769084692001,0.352764993906021,687,33,18.80299949646,0.025000000372529,0.689999997615814,19.8610992431641,19.9300994873047,0.11702524125576,0.197799995541573,"",""
"524411923315010003","ZTF18aavqlpk",524411923315010000,58278.4119213,1,20.9580249786377,19.7076759338379,19.6674003601074,0.0838144645094872,0.126399993896484,309.2832386,35.0195725,0.09,0.09,-1,0.391257971525192,0.352764993906021,687,33,18.80299949646,0.025000000372529,0.633333325386047,19.7076759338379,19.6674003601074,0.0838144645094872,0.126399993896484,"",""
"524444183315010008","ZTF18aavqlpk",524444183315010000,58278.4441897999,2,20.853422164917,15.655161857605,15.7199001312256,0.00451462622731924,0.00630000000819564,309.2831579,35.0195631,0.09,0.09,-1,0.303821325302124,0.352764993906021,687,33,14.7749996185303,0.0149999996647239,0.613333344459534,15.655161857605,15.7199001312256,0.00451462622731924,0.00630000000819564,"",""
