oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.magnr,alert.sigmagnr,alert.ssnamenr,alert.sgscore2,alert.zpclrcov,alert.nmatches,alert.ndethist,alert.ypos,alert.elong,alert.aimagerat,alert.nbad,alert.clrcoeff,alert.neargaia,sgscore1,alert.magapbig,alert.seeratio,alert.ssnrms,alert.sgmag3,alert.magzpscirms,alert.sgmag1,alert.distpsnr1,alert.nid,alert.srmag1,alert.distpsnr3,alert.jdstartref,alert.drb,alert.szmag3,alert.pdiffimfilename,alert.jd,alert.tooflag,alert.srmag3,alert.ssmagnr,alert.ncovhist,alert.dsnrms,alert.dsdiff,alert.bimagerat,alert.magdiff,alert.sgmag2,alert.drbversion,alert.magzpsciunc,alert.zpmed,alert.maggaiabright,alert.distnr,alert.szmag2,alert.aimage,alert.objectidps3,alert.sigmagapbig,alert.sumrat,alert.ssdistnr,alert.simag1,alert.ranr,alert.nneg,alert.classtar,alert.rcid,isdiffpos,alert.magzpsci,alert.simag3,alert.chipsf,alert.jdendref,alert.programid,alert.nmtchps,alert.tblid,alert.scorr,alert.distpsnr2,alert.chinr,alert.sharpnr,alert.neargaiabright,alert.rbversion,alert.decnr,alert.bimage,alert.jdstarthist,alert.magfromlim,alert.clrmed,alert.candid,alert.diffmaglim,alert.jdendhist,alert.field,alert.exptime,alert.szmag1,alert.objectidps1,alert.objectidps2,alert.fwhm,alert.srmag2,alert.sky,alert.programpi,alert.simag2,alert.rfid,alert.xpos,alert.mindtoedge,alert.clrrms,alert.nframesref,alert.sgscore3,alert.clrcounc,alert.maggaia,alert.pid,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr,alert.parent_candid,alert.sigmagref,alert.magref
ZTF18aaawmzf,689287382615010001,58443.2890625,1,18.49907112121582,17.087556838989258,18.483800888061523,17.0833740234375,0.136749267578125,0.03863322362303734,0.16410000622272491,0.04630429297685623,111.90274810791016,24.41594696044922,0.7900000214576721,17.433000564575195,0.014000000432133675,null,0.9713749885559082,,,9,2700.42529296875,1.122950792312622,0.3391089141368866,0,,,0.9684579968452454,18.190000534057617,1.1550707817077637,,22.175500869750977,,17.40690040588379,0.18524260818958282,689,17.27549934387207,16.086729049682617,2458166.75,,-999.0,ztf_20181121287373_000615_zg_c07_o_q3_scimrefdiffimg.fits,2458443.75,0,20.905899047851562,-999.0,107,,,0.301980197429657,-0.01527199987322092,19.20680046081543,,,,,0.1527402549982071,17.239099502563477,0.6850000023841858,1.3730111938153677e+17,0.16030000150203705,1.0,-999.0,17.23310089111328,111.90279388427734,3,1.0,26,-1,,-999.0,3.901062250137329,2458439.0,1,11,1,15.949854850769043,14.416709899902344,0.4970000088214874,-0.009999999776482582,,,24.415971755981445,0.6100000143051147,2458042.0,1.0179558992385864,,,19.50175666809082,2458443.75,615,,17.24880027770996,1.3729112069767168e+17,1.3730111938153677e+17,2.0199999809265137,18.092199325561523,-0.7847825288772583,Kulkarni,17.50469970703125,615120126,2495.513671875,380.0747985839844,,15,0.5,,,689287397376.0,,,,,,,,,,,,,-1000.0,0.014000000432133675,17.433000564575195
ZTF18aaawmzf,726435622615010001,58480.4375,2,19.319482803344727,17.151561737060547,19.758899688720703,17.201770782470703,0.19392229616641998,0.030582424253225327,0.2646999955177307,0.029935138300061226,111.9028091430664,24.415939331054688,0.6733333468437195,17.309999465942383,0.017999999225139618,null,0.9713749885559082,,,13,2755.537841796875,1.156363606452942,0.3475409746170044,0,,,0.9684579968452454,19.850299835205078,1.6120550632476807,,22.175500869750977,,17.40690040588379,0.04333644360303879,726,17.27549934387207,15.894445419311523,2458154.75,,-999.0,ztf_20181228435590_000615_zr_c07_o_q3_scimrefdiffimg.fits,2458481.0,0,20.905899047851562,-999.0,126,,,0.30054643750190735,0.4394179880619049,19.20680046081543,,,,,0.1310422718524933,17.239099502563477,0.6359999775886536,1.3730111938153677e+17,0.3653999865055084,0.9225080609321594,-999.0,17.23310089111328,111.9028091430664,7,0.9129999876022339,26,-1,,-999.0,1.9298818111419678,2458381.0,1,11,1,10.701889991760254,14.614276885986328,0.9990000128746033,-0.050999999046325684,,,24.415971755981445,0.550000011920929,2458042.0,0.272525817155838,,,20.03142547607422,2458481.0,615,,17.24880027770996,1.3729112069767168e+17,1.3730111938153677e+17,1.8300000429153442,18.092199325561523,0.7574400901794434,Kulkarni,17.50469970703125,615120226,2500.0,324.96209716796875,,15,0.5,,,726435627008.0,,,,,,,,,,,,,-1000.0,0.017999999225139618,17.309999465942383
ZTF18aaawmzf,1027494212615010002,58781.49609375,2,18.366058349609375,16.96181869506836,18.473100662231445,16.990150451660156,0.1280997097492218,0.03749286010861397,0.09730000048875809,0.028216183185577393,111.90284729003906,24.41595458984375,0.8285714387893677,17.309999465942383,0.017999999225139618,null,0.9713749885559082,,,32,2657.29443359375,1.0681034326553345,0.2848275899887085,0,,,0.9684579968452454,18.411699295043945,0.9123580455780029,,22.175500869750977,,17.40690040588379,0.12149331718683243,1027,17.27549934387207,15.780190467834473,2458154.75,,-999.0,ztf_20191025493854_000615_zr_c07_o_q3_scimrefdiffimg.fits,2458782.0,0,20.905899047851562,-999.0,455,,,0.2666666805744171,0.10704199969768524,19.20680046081543,,,,,0.1270194798707962,17.239099502563477,1.2389999628067017,1.3730111938153677e+17,0.11720000207424164,1.0,-999.0,17.23310089111328,111.9028091430664,0,0.9789999723434448,26,-1,,-999.0,1.3913772106170654,2458381.0,1,11,2,16.013595581054688,14.708150863647461,0.9990000128746033,-0.050999999046325684,,,24.415971755981445,1.159999966621399,2458042.0,1.0233559608459473,,,19.496456146240234,2458782.0,615,,17.24880027770996,1.3729112069767168e+17,1.3730111938153677e+17,4.349999904632568,18.092199325561523,1.081333041191101,Kulkarni,17.50469970703125,615120226,2569.571533203125,423.2055969238281,,15,0.5,,,1027494182912.0,,,,,,,,,,,,,-1000.0,0.017999999225139618,17.309999465942383
ZTF18aaawmzf,840172652615010010,58594.171875,1,18.995769500732422,17.202007293701172,18.795799255371094,17.160722732543945,0.11365704983472824,0.024546202272176743,0.1251000016927719,0.029809892177581787,111.90271759033203,24.41597557067871,0.822857141494751,17.433000564575195,0.014000000432133675,null,0.9713749885559082,,,16,2710.353515625,1.039637565612793,0.3558139503002167,0,,,0.9684579968452454,18.722299575805664,1.0968475341796875,,22.175500869750977,,17.40690040588379,0.31890782713890076,840,17.27549934387207,16.196548461914062,2458166.75,,-999.0,ztf_20190421172616_000615_zg_c07_o_q3_scimrefdiffimg.fits,2458594.75,0,20.905899047851562,-999.0,165,,,0.3422480523586273,-0.19996899366378784,19.20680046081543,,,,,0.2512059211730957,17.239099502563477,0.9179999828338623,1.3730111938153677e+17,0.14880000054836273,1.0,-999.0,17.23310089111328,111.90279388427734,0,0.9909999966621399,26,-1,,-999.0,1.1369637250900269,2458439.0,1,11,10,15.376604080200195,14.274078369140625,0.4970000088214874,-0.009999999776482582,,,24.415971755981445,0.8830000162124634,2458042.0,1.1219161748886108,,,19.91771697998047,2458594.75,615,,17.24880027770996,1.3729112069767168e+17,1.3730111938153677e+17,2.5799999237060547,18.092199325561523,-0.23330019414424896,Kulkarni,17.50469970703125,615120126,2526.94287109375,370.1466064453125,,15,0.5,,,840172634112.0,,,,,,,,,,,,,-1000.0,0.014000000432133675,17.433000564575195
ZTF18aaawmzf,1004494372615010014,58758.49609375,1,19.966299057006836,17.332504272460938,19.666000366210938,17.302343368530273,0.25855201482772827,0.02617909386754036,0.19859999418258667,0.025711948052048683,111.90269470214844,24.415958404541016,0.9528570175170898,17.433000564575195,0.014000000432133675,,0.9713749885559082,,,31,2667.510009765625,1.3250000476837158,0.5149160027503967,0,,,0.9684579968452454,19.721599578857422,2.0,,22.175500869750977,,17.40690040588379,0.1606236696243286,1004,17.27549934387207,16.059722900390625,2458166.75,,-999.0,/ztf/archive/sci/2019/1002/494375/ztf_20191002494375_000615_zg_c07_o_q3_scimrefdiffimg.fits.fz,2458759.0,0,20.905899047851562,,454,,,0.38861599564552307,-0.3002850115299225,19.20680046081543,,,,,0.3078779876232147,17.239099502563477,0.6890000104904175,1.3730111938153677e+17,0.26350000500679016,0.9718300104141235,,17.23310089111328,111.90279388427734,7,0.8949999809265137,26,-1,,-999.0,2.2065799236297607,2458439.0,1,11,14,6.122700214385986,14.45437240600586,0.4970000088214874,-0.009999999776482582,,,24.415971755981445,0.5199999809265137,2458042.0,0.7072110176086426,,,20.373199462890625,2458782.0,615,,17.24880027770996,1.3729112069767168e+17,1.3730111938153677e+17,1.3380800485610962,18.092199325561523,-0.04930400103330612,Kulkarni,17.50469970703125,615120126,2582.5400390625,412.9949951171875,,15,0.5,,,1004494389248.0,,,,,,,,,,,,,1.0274765050069647e+18,0.014000000432133675,17.433000564575195
ZTF18aaawmzf,693436032615010017,58447.4375,2,19.484800338745117,17.172584533691406,19.461299896240234,17.16976547241211,0.2669210135936737,0.03547478839755058,0.42480000853538513,0.05384793505072594,111.90284729003906,24.415979385375977,0.636667013168335,17.309999465942383,0.017999999225139618,,0.9713749885559082,,,11,2740.68994140625,1.231279969215393,0.4531030058860779,0,,,0.9684579968452454,19.33919906616211,2.0,,22.175500869750977,,17.40690040588379,0.02145840972661972,693,17.27549934387207,15.892350196838379,2458154.75,,-999.0,/ztf/archive/sci/2018/1125/435972/ztf_20181125435972_000615_zr_c07_o_q3_scimrefdiffimg.fits.fz,2458448.0,0,20.905899047851562,,111,,,0.3679940104484558,-0.023499999195337296,19.20680046081543,,,,,0.11164700239896774,17.239099502563477,0.5590000152587891,1.3730111938153677e+17,0.48669999837875366,0.8876720070838928,,17.23310089111328,111.9028091430664,8,0.9900000095367432,26,-1,,-999.0,1.9909100532531738,2458381.0,1,11,17,5.500760078430176,14.594744682312012,0.9990000128746033,-0.050999999046325684,,,24.415971755981445,0.45399999618530273,2458042.0,-0.08007899671792984,,,19.381200790405273,2458451.0,615,,17.24880027770996,1.3729112069767168e+17,1.3730111938153677e+17,1.2337199449539185,18.092199325561523,9.053730010986328,Kulkarni,17.50469970703125,615120226,2527.97998046875,339.80999755859375,,15,0.5,,,693436022784.0,,,,,,,,,,,,,6.963917698094858e+17,0.017999999225139618,17.309999465942383
