oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.magapbig,alert.jdstartref,alert.objectidps3,alert.srmag2,alert.aimage,alert.tblid,alert.objectidps1,alert.srmag3,alert.sigmagapbig,alert.distpsnr2,alert.fwhm,alert.seeratio,alert.simag2,alert.nmtchps,alert.programid,alert.szmag2,alert.ypos,alert.nid,alert.sigmagref,alert.parent_candid,alert.aimagerat,alert.scorr,alert.ssmagnr,alert.sgmag2,alert.sgmag3,alert.simag3,alert.sigmagnr,alert.pid,alert.srmag1,alert.diffmaglim,alert.jdendhist,alert.xpos,alert.distpsnr1,alert.objectidps2,alert.elong,alert.classtar,alert.szmag3,alert.distpsnr3,alert.sky,alert.rcid,alert.ndethist,alert.rfid,alert.sgmag1,alert.magnr,alert.sgscore2,alert.chipsf,alert.nframesref,alert.programpi,alert.pdiffimfilename,sgscore1,alert.decnr,alert.distnr,alert.szmag1,alert.magdiff,alert.jdstarthist,alert.sharpnr,alert.jdendref,isdiffpos,alert.bimage,alert.jd,alert.nneg,alert.field,alert.sgscore3,alert.magfromlim,alert.bimagerat,alert.ssnamenr,alert.mindtoedge,alert.ssdistnr,alert.ranr,alert.nbad,alert.sumrat,alert.simag1,alert.magref,alert.ncovhist,alert.tooflag,alert.chinr,alert.zpclrcov,alert.nmatches,alert.clrcoeff,alert.neargaia,alert.ssnrms,alert.magzpscirms,alert.drb,alert.dsnrms,alert.dsdiff,alert.drbversion,alert.magzpsciunc,alert.zpmed,alert.maggaiabright,alert.magzpsci,alert.neargaiabright,alert.rbversion,alert.clrmed,alert.candid,alert.exptime,alert.clrrms,alert.clrcounc,alert.maggaia,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr
ZTF18abwsmyi,840172652415010003,58594.171875,1,16.840072631835938,14.36122989654541,17.041500091552734,14.380139350891113,0.06472780555486679,0.01188039779663086,0.030300000682473183,0.010385621339082718,112.98480987548828,25.915735244750977,0.5785714387893677,17.014400482177734,2458166.75,1.3910113158535578e+17,22.16659927368164,0.777999997138977,3,1.3909113290149069e+17,19.019800186157227,0.0340999998152256,12.155280113220215,1.429366111755371,2.0,21.212900161743164,10,1,21.009599685668945,504.5419006347656,840,0.010999999940395355,-1000.0,0.5442972183227539,8.093632698059082,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.010999999940395355,840172634112.0,13.766500473022461,20.031389236450195,2458594.75,2048.031005859375,0.1832302212715149,1.3909113290149069e+17,1.086592197418213,0.996999979019165,17.157899856567383,19.676450729370117,-0.128044992685318,24,22,615120124,14.489100456237793,14.477999687194824,0.014083299785852432,17.66762351989746,15,Kulkarni,ztf_20190421172616_000615_zg_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.915699005126953,0.1413666158914566,13.253800392150879,0.20142799615859985,2458076.75,-0.004999999888241291,2458427.0,-1,0.7160000205039978,2458594.75,0,615,0.9991670250892639,2.989889621734619,0.5009213089942932,null,504.5419006347656,-999.0,112.98480987548828,0,1.0,13.446000099182129,14.477999687194824,188,0,0.257999986410141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,681394352415015033,58435.39453125,2,15.650075912475586,13.541017532348633,15.798399925231934,13.561074256896973,0.05104826018214226,0.01332542859017849,0.012000000104308128,0.01144668459892273,112.98502349853516,25.915700912475586,0.6666666865348816,15.762200355529785,2458154.75,1.3910113158535578e+17,22.16659927368164,0.9079999923706055,33,1.3909113290149069e+17,19.019800186157227,0.012600000016391277,12.003290176391602,2.259676933288574,2.0,21.212900161743164,10,1,21.009599685668945,531.605224609375,681,0.013000000268220901,-1000.0,0.401827335357666,53.5088005065918,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.013000000268220901,681394372608.0,13.766500473022461,19.70528793334961,2458436.0,2035.8948974609375,0.6809607148170471,1.3909113290149069e+17,1.0900360345840454,0.7689999938011169,17.157899856567383,19.986425399780273,-0.22249959409236908,24,3,615120224,14.489100456237793,13.708999633789062,0.014083299785852432,23.296077728271484,15,Kulkarni,ztf_20181113394352_000615_zr_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.91573715209961,0.7705782055854797,13.253800392150879,0.14832399785518646,2458378.0,0.010999999940395355,2458369.0,1,0.8330000042915344,2458436.0,0,615,0.9991670250892639,3.9068872928619385,0.36863675713539124,null,531.605224609375,-999.0,112.98478698730469,0,1.0,13.446000099182129,13.708999633789062,111,0,0.8259999752044678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,1006497622415015001,58760.49609375,1,17.02334213256836,14.378562927246094,16.916500091552734,14.368781089782715,0.04737267270684242,0.010859839618206024,0.02539999969303608,0.01023999322205782,112.98487091064453,25.915571212768555,0.8828571438789368,16.897300720214844,2458166.75,1.3910113158535578e+17,22.16659927368164,0.8619999885559082,1,1.3909113290149069e+17,19.019800186157227,0.027300000190734863,11.552992820739746,2.75,1.0347076654434204,21.212900161743164,9,1,21.009599685668945,437.8301086425781,1006,0.010999999940395355,-1000.0,0.3134545385837555,15.102529525756836,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.010999999940395355,1006497628160.0,13.766500473022461,20.378456115722656,2458761.0,2117.73388671875,0.446560800075531,1.3909113290149069e+17,1.0748130083084106,0.953000009059906,17.157899856567383,20.29846954345703,-0.10014159977436066,24,76,615120124,14.489100456237793,14.477999687194824,0.014083299785852432,15.398601531982422,15,Kulkarni,ztf_20191004497627_000615_zg_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.915699005126953,0.48777052760124207,13.253800392150879,-0.106843002140522,2458067.75,-0.004999999888241291,2458427.0,1,0.8019999861717224,2458761.0,1,615,0.9991670250892639,3.4619555473327637,0.2916363775730133,null,437.8301086425781,-999.0,112.98480987548828,0,1.0,13.446000099182129,14.477999687194824,303,0,0.257999986410141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,726466332415010004,58480.46484375,1,16.84044647216797,14.361268043518066,16.972700119018555,14.374034881591797,0.05867727845907211,0.011548384092748165,0.028200000524520874,0.010321913287043571,112.98493194580078,25.915788650512695,0.7566666603088379,16.97949981689453,2458166.75,1.3910113158535578e+17,22.16659927368164,1.1440000534057617,4,1.3909113290149069e+17,19.019800186157227,0.03280000016093254,12.331082344055176,3.7799999713897705,0.9919211268424988,21.212900161743164,10,1,21.009599685668945,556.7012939453125,726,0.010999999940395355,-1000.0,0.3026455044746399,8.56632137298584,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.010999999940395355,726466363392.0,13.766500473022461,19.746740341186523,2458481.0,2023.5975341796875,0.5290079712867737,1.3909113290149069e+17,1.0792453289031982,0.9990000128746033,17.157899856567383,19.591272354125977,0.10750699788331985,24,13,615120124,14.489100456237793,14.477999687194824,0.014083299785852432,9.133652687072754,15,Kulkarni,ztf_20181228466319_000615_zg_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.915699005126953,0.5040307641029358,13.253800392150879,0.1322530061006546,2458076.75,-0.004999999888241291,2458427.0,-1,1.059999942779541,2458481.0,1,615,0.9991670250892639,2.7740397453308105,0.28042328357696533,null,556.7012939453125,-999.0,112.98480987548828,0,1.0,13.446000099182129,14.477999687194824,144,0,0.257999986410141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,1030517532415015003,58784.515625,2,16.576229095458984,13.6342191696167,16.967899322509766,13.656326293945312,0.08466923236846924,0.013379444368183613,0.035999998450279236,0.012501166202127934,112.9849853515625,25.91579246520996,0.631428599357605,16.940500259399414,2458154.75,1.3910113158535578e+17,22.16659927368164,0.8640000224113464,3,1.3909113290149069e+17,19.019800186157227,0.039000000804662704,12.340773582458496,2.1669397354125977,2.0,21.212900161743164,10,1,21.009599685668945,441.9104919433594,1030,0.013000000268220901,-1000.0,0.3987189829349518,7.892751216888428,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.013000000268220901,1030517555200.0,13.766500473022461,19.53861427307129,2458785.0,2073.14306640625,0.6752244234085083,1.3909113290149069e+17,1.1034482717514038,0.9869999885559082,17.157899856567383,19.627849578857422,-0.4027816951274872,24,168,615120224,14.489100456237793,13.708999633789062,0.014083299785852432,7.733145713806152,15,Kulkarni,ztf_20191028517477_000615_zr_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.91573715209961,0.6511027216911316,13.253800392150879,0.39166998863220215,2458067.75,0.010999999940395355,2458369.0,1,0.7829999923706055,2458785.0,0,615,0.9991670250892639,2.570713996887207,0.3613390624523163,null,441.9104919433594,-999.0,112.98478698730469,0,1.0,13.446000099182129,13.708999633789062,495,0,0.8259999752044678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,972488832415015006,58726.48828125,1,16.663740158081055,14.341880798339844,16.856199264526367,14.362862586975098,0.08056939393281937,0.013575402088463306,0.029899999499320984,0.010340525768697262,112.98495483398438,25.915529251098633,0.8142856955528259,16.847400665283203,2458166.75,1.3910113158535578e+17,22.16659927368164,0.7260000109672546,6,1.3909113290149069e+17,19.019800186157227,0.03370000049471855,11.39084529876709,1.5542542934417725,2.0,21.212900161743164,9,1,21.009599685668945,389.6167907714844,972,0.010999999940395355,-1000.0,0.46710503101348877,7.286807060241699,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.010999999940395355,972488835072.0,13.766500473022461,19.84537124633789,2458727.0,2117.9296875,0.7273982167243958,1.3909113290149069e+17,1.0327168703079224,0.9959999918937683,17.157899856567383,20.519092559814453,-0.22423039376735687,24,67,615120124,14.489100456237793,14.477999687194824,0.014083299785852432,10.976631164550781,15,Kulkarni,ztf_20190831488831_000615_zg_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.915699005126953,0.7657514214515686,13.253800392150879,0.19245900213718414,2458067.75,-0.004999999888241291,2458427.0,1,0.703000009059906,2458727.0,3,615,0.9991670250892639,2.9891703128814697,0.45230695605278015,null,389.6167907714844,-999.0,112.98480987548828,0,0.9907192587852478,13.446000099182129,14.477999687194824,280,0,0.257999986410141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,1004494372415015004,58758.49609375,1,16.940107345581055,14.371018409729004,16.800100326538086,14.357085227966309,0.06441640853881836,0.011657333001494408,0.02280000038444996,0.010129837319254875,112.98486328125,25.91555404663086,0.7285714149475098,16.784299850463867,2458166.75,1.3910113158535578e+17,22.16659927368164,0.8410000205039978,4,1.3909113290149069e+17,19.019800186157227,0.02459999918937683,11.488821983337402,1.3603171110153198,2.0,21.212900161743164,9,1,21.009599685668945,462.55670166015625,1004,0.010999999940395355,-1000.0,0.6182382106781006,5.335460662841797,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.010999999940395355,1004494389248.0,13.766500473022461,20.443288803100586,2458759.0,2104.57421875,0.500901997089386,1.3909113290149069e+17,1.1895332336425781,0.9980000257492065,17.157899856567383,20.356842041015625,0.24259600043296814,24,74,615120124,14.489100456237793,14.477999687194824,0.014083299785852432,29.675569534301758,15,Kulkarni,ztf_20191002494375_000615_zg_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.915699005126953,0.5480396151542664,13.253800392150879,-0.14000700414180756,2458067.75,-0.004999999888241291,2458427.0,1,0.7070000171661377,2458759.0,2,615,0.9991670250892639,3.643188953399658,0.5197317600250244,null,462.55670166015625,-999.0,112.98480987548828,0,1.0,13.446000099182129,14.477999687194824,298,0,0.257999986410141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,1036528632415015008,58790.52734375,1,16.973426818847656,14.374101638793945,16.836700439453125,14.360885620117188,0.040765710175037384,0.01066597830504179,0.022099999710917473,0.01013047993183136,112.98490142822266,25.915607452392578,0.7457143068313599,16.820999145507812,2458166.75,1.3910113158535578e+17,22.16659927368164,0.7059999704360962,8,1.3909113290149069e+17,19.019800186157227,0.023499999195337296,11.676799774169922,1.3082507848739624,2.0,21.212900161743164,9,1,21.009599685668945,464.86529541015625,1036,0.010999999940395355,-1000.0,0.5396518707275391,9.24864387512207,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.010999999940395355,1036528648192.0,13.766500473022461,20.649612426757812,2458791.0,2106.08251953125,0.39246970415115356,1.3909113290149069e+17,1.0085713863372803,0.9950000047683716,17.157899856567383,20.199298858642578,0.19978639483451843,24,180,615120124,14.489100456237793,14.477999687194824,0.014083299785852432,34.25559616088867,15,Kulkarni,ztf_20191103528611_000615_zg_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.915699005126953,0.42756158113479614,13.253800392150879,-0.1367270052433014,2458067.75,-0.004999999888241291,2458427.0,1,0.699999988079071,2458791.0,2,615,0.9991670250892639,3.812913417816162,0.5350655913352966,null,464.86529541015625,-999.0,112.98480987548828,0,1.0,13.446000099182129,14.477999687194824,518,0,0.257999986410141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,1027494212415015003,58781.49609375,2,15.696930885314941,13.54761028289795,15.955699920654297,13.579887390136719,0.06600791960954666,0.014445201493799686,0.015399999916553497,0.011670893058180809,112.98493194580078,25.915451049804688,0.6299999952316284,15.903499603271484,2458154.75,1.3910113158535578e+17,22.16659927368164,0.9660000205039978,3,1.3909113290149069e+17,19.019800186157227,0.01640000008046627,11.114638328552246,2.0073204040527344,2.0,21.212900161743164,10,1,21.009599685668945,452.68798828125,1027,0.013000000268220901,-1000.0,0.48123857378959656,5.851217269897461,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.013000000268220901,1027494182912.0,13.766500473022461,19.49148178100586,2458782.0,2090.98583984375,0.9179186224937439,1.3909113290149069e+17,1.0568927526474,0.9959999918937683,17.157899856567383,20.763900756835938,0.18319399654865265,24,166,615120224,14.489100456237793,13.708999633789062,0.014083299785852432,21.150739669799805,15,Kulkarni,ztf_20191025493854_000615_zr_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.91573715209961,1.111499547958374,13.253800392150879,0.2587690055370331,2458067.75,0.010999999940395355,2458369.0,1,0.9139999747276306,2458782.0,0,615,0.9991670250892639,3.5357825756073,0.455333411693573,null,452.68798828125,-999.0,112.98478698730469,0,1.0,13.446000099182129,13.708999633789062,491,0,0.8259999752044678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF18abwsmyi,727429282415015012,58481.4296875,2,15.745523452758789,13.554194450378418,15.957099914550781,13.580044746398926,0.060155488550662994,0.013819110579788685,0.014000000432133675,0.011650116182863712,112.9848861694336,25.915632247924805,0.6033333539962769,15.950799942016602,2458154.75,1.3910113158535578e+17,22.16659927368164,0.6819999814033508,12,1.3909113290149069e+17,19.019800186157227,0.01510000042617321,11.768823623657227,1.5552698373794556,2.0,21.212900161743164,9,1,21.009599685668945,566.55859375,727,0.013000000268220901,-1000.0,0.43850913643836975,8.232054710388184,-999.0,21.906200408935547,20.265199661254883,17.717500686645508,0.013000000268220901,727429283840.0,13.766500473022461,20.060394287109375,2458482.0,2028.727783203125,0.29387032985687256,1.3909113290149069e+17,1.0929486751556396,0.996999979019165,17.157899856567383,20.09928321838379,-0.26237189769744873,24,15,615120224,14.489100456237793,13.708999633789062,0.014083299785852432,61.17314910888672,15,Kulkarni,ztf_20181229429282_000615_zr_c07_o_q1_scimrefdiffimg.fits,0.994583010673523,25.91573715209961,0.4825449287891388,13.253800392150879,0.21157699823379517,2458076.75,0.010999999940395355,2458369.0,1,0.6240000128746033,2458482.0,0,615,0.9991670250892639,4.103293418884277,0.4012165665626526,null,566.55859375,-999.0,112.98478698730469,0,1.0,13.446000099182129,13.708999633789062,146,0,0.8259999752044678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
