oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.magnr,alert.sigmagnr,alert.ssnamenr,alert.sgscore2,alert.zpclrcov,alert.nmatches,alert.ndethist,alert.ypos,alert.elong,alert.aimagerat,alert.nbad,alert.clrcoeff,alert.neargaia,sgscore1,alert.magapbig,alert.seeratio,alert.ssnrms,alert.sgmag3,alert.magzpscirms,alert.sgmag1,alert.distpsnr1,alert.nid,alert.srmag1,alert.distpsnr3,alert.jdstartref,alert.drb,alert.szmag3,alert.pdiffimfilename,alert.jd,alert.tooflag,alert.srmag3,alert.ssmagnr,alert.ncovhist,alert.dsnrms,alert.dsdiff,alert.bimagerat,alert.magdiff,alert.sgmag2,alert.drbversion,alert.magzpsciunc,alert.zpmed,alert.maggaiabright,alert.distnr,alert.szmag2,alert.aimage,alert.objectidps3,alert.sigmagapbig,alert.sumrat,alert.ssdistnr,alert.simag1,alert.ranr,alert.nneg,alert.classtar,alert.rcid,isdiffpos,alert.magzpsci,alert.simag3,alert.chipsf,alert.jdendref,alert.programid,alert.nmtchps,alert.tblid,alert.scorr,alert.distpsnr2,alert.chinr,alert.sharpnr,alert.neargaiabright,alert.rbversion,alert.decnr,alert.bimage,alert.jdstarthist,alert.magfromlim,alert.clrmed,alert.candid,alert.diffmaglim,alert.jdendhist,alert.field,alert.exptime,alert.szmag1,alert.objectidps1,alert.objectidps2,alert.fwhm,alert.srmag2,alert.sky,alert.programpi,alert.simag2,alert.rfid,alert.xpos,alert.mindtoedge,alert.clrrms,alert.nframesref,alert.sgscore3,alert.clrcounc,alert.maggaia,alert.pid,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr,alert.magref,alert.sigmagref,alert.parent_candid
ZTF17aacfokn,997483412415015013,58751.484375,1,15.348352432250977,13.401368141174316,15.44789981842041,13.417314529418945,0.03768492862582207,0.011806409806013107,0.010999999940395355,0.010291491635143757,112.74227142333984,25.570049285888672,0.7985714077949524,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,123,1634.912841796875,1.0652778148651123,0.24349206686019897,0,,,1.0,15.451399803161621,0.8367431163787842,,17.73259925842285,,13.454000473022461,0.18960091471672058,997,13.37600040435791,19.43877410888672,2458166.75,,15.84000015258789,ztf_20190925483414_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458752.0,0,16.632200241088867,-999.0,292,,,0.22857142984867096,0.09954799711704254,17.08489990234375,,,,,0.20303912460803986,16.399799346923828,0.7670000195503235,1.3867112804961485e+17,0.011800000444054604,0.9890774488449097,-999.0,13.418000221252441,112.74231719970703,3,1.0,24,1,,16.096200942993164,124.35969543457031,2458427.0,1,5,13,13.948624610900879,8.11827564239502,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,0.7200000286102295,2458067.0,4.6482367515563965,,,20.09613609313965,2458752.0,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,3.1500000953674316,16.630599975585938,0.030099380761384964,Kulkarni,16.458099365234375,615120124,2903.407470703125,169.0926055908203,,15,0.9975000023841858,,,997483413504.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
ZTF17aacfokn,676371992415010010,58430.37109375,1,16.057018280029297,13.491634368896484,16.039400100708008,13.489962577819824,0.021144399419426918,0.011050942353904247,0.013700000010430813,0.010932069271802902,112.74232482910156,25.57012939453125,0.5733333230018616,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,26,1688.3958740234375,1.2084168195724487,0.2778801918029785,0,,,1.0,16.032100677490234,1.1764851808547974,,17.73259925842285,,13.454000473022461,0.2699527144432068,676,13.37600040435791,19.731428146362305,2458166.75,,15.84000015258789,ztf_20181108371991_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458430.75,0,16.632200241088867,-999.0,106,,,0.22995391488075256,-0.01761854998767376,17.08489990234375,,,,,0.1411861628293991,16.399799346923828,0.6029999852180481,1.3867112804961485e+17,0.0142000000923872,0.9972617030143738,-999.0,13.418000221252441,112.74231719970703,6,1.0,24,-1,,16.096200942993164,217.98330688476562,2458427.0,1,5,10,23.27918243408203,8.455822944641113,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,0.49900001287460327,2458076.75,4.873987674713135,,,20.913387298583984,2458430.75,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,2.1700000762939453,16.630599975585938,-0.12449680268764496,Kulkarni,16.458099365234375,615120124,2829.651123046875,242.84890747070312,,15,0.9975000023841858,,,676372021248.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
ZTF17aacfokn,1082408552415015016,58836.41015625,1,15.523639678955078,13.428646087646484,15.702099800109863,13.45280933380127,0.06440960615873337,0.013881459832191467,0.011099999770522118,0.010581104084849358,112.74238586425781,25.57002067565918,0.6528571248054504,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,182,1720.9798583984375,1.1446540355682373,0.3165217339992523,0,,,1.0,15.706100463867188,1.1522080898284912,,17.73259925842285,,13.454000473022461,0.23219043016433716,1082,13.37600040435791,19.34992218017578,2458166.75,,15.84000015258789,ztf_20191219408553_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458837.0,0,16.632200241088867,-999.0,795,,,0.2765217423439026,0.1784600019454956,17.08489990234375,,,,,0.3314172029495239,16.399799346923828,0.7279999852180481,1.3867112804961485e+17,0.011900000274181366,0.9823805689811707,-999.0,13.418000221252441,112.74231719970703,6,1.0,24,1,,16.096200942993164,177.67893981933594,2458427.0,1,5,16,15.734909057617188,8.252923011779785,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,0.6359999775886536,2458067.0,4.697666645050049,,,20.39976692199707,2458837.0,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,2.299999952316284,16.630599975585938,0.7235844135284424,Kulkarni,16.458099365234375,615120124,2893.25390625,179.24600219726562,,15,0.9975000023841858,,,1082408566784.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
ZTF17aacfokn,751238142415015003,58505.23828125,1,15.114336967468262,13.358755111694336,15.360300064086914,13.40334701538086,0.06251678615808487,0.015700561925768852,0.01360000018030405,0.01026908028870821,112.74232482910156,25.570022583007812,0.6057142615318298,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,38,1754.9051513671875,1.036478042602539,0.24451038241386414,0,,,1.0,15.341300010681152,1.0381338596343994,,17.73259925842285,,13.454000473022461,0.11312466114759445,751,13.37600040435791,19.350191116333008,2458166.75,,15.84000015258789,ztf_20190122238137_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458505.75,0,16.632200241088867,-999.0,152,,,0.23590505123138428,0.24596300721168518,17.08489990234375,,,,,0.23233765363693237,16.399799346923828,0.8240000009536743,1.3867112804961485e+17,0.01600000075995922,1.0,-999.0,13.418000221252441,112.74231719970703,1,1.0,24,1,,16.096200942993164,48.038124084472656,2458427.0,1,5,3,14.251275062561035,8.134967803955078,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,0.7950000166893005,2458076.75,3.487704038619995,,,18.848003387451172,2458505.75,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,3.369999885559082,16.630599975585938,-0.06575757265090942,Kulkarni,16.458099365234375,615120124,2821.894287109375,250.60569763183594,,15,0.9975000023841858,,,751238119424.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
ZTF17aacfokn,1066238622415015005,58820.23828125,1,15.11028003692627,13.357948303222656,15.234399795532227,13.38155460357666,0.05060184374451637,0.01392365526407957,0.014000000432133675,0.01014541182667017,112.7422866821289,25.570043563842773,0.7342857122421265,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,170,1678.620849609375,1.1059505939483643,0.26275861263275146,0,,,1.0,15.234100341796875,0.9146416187286377,,17.73259925842285,,13.454000473022461,0.13446073234081268,1066,13.37600040435791,19.421737670898438,2458166.75,,15.84000015258789,ztf_20191203238611_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458820.75,0,16.632200241088867,-999.0,761,,,0.23758620023727417,0.12411999702453613,17.08489990234375,,,,,0.18305879831314087,16.399799346923828,0.7620000243186951,1.3867112804961485e+17,0.01590000092983246,0.9889568090438843,-999.0,13.418000221252441,112.74231719970703,4,1.0,24,1,,16.096200942993164,90.11328125,2458427.0,1,5,5,17.541305541992188,8.135344505310059,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,0.6890000104904175,2458067.0,4.010899543762207,,,19.24530029296875,2458820.75,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,2.9000000953674316,16.630599975585938,-0.15618810057640076,Kulkarni,16.458099365234375,615120124,2844.32275390625,228.1772003173828,,15,0.9975000023841858,,,1066238607360.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
ZTF17aacfokn,1069363332415010001,58823.36328125,2,14.893324851989746,13.229718208312988,15.01039981842041,13.253965377807617,0.056430649012327194,0.014494848437607288,0.03460000082850456,0.010552863590419292,112.74234008789062,25.570049285888672,0.5842857360839844,13.493999481201172,0.009999999776482582,null,0.9951850175857544,,,171,1708.3470458984375,1.2634408473968506,0.5330192446708679,0,,,1.0,14.980799674987793,2.0,,17.73259925842285,,13.454000473022461,0.04368109256029129,1069,13.37600040435791,19.444454193115234,2458154.75,,15.84000015258789,ztf_20191206363275_000615_zr_c07_o_q1_scimrefdiffimg.fits,2458823.75,0,16.632200241088867,-999.0,766,,,0.4218790531158447,0.11707500368356705,17.08489990234375,,,,,0.18146194517612457,16.399799346923828,0.7049999833106995,1.3867112804961485e+17,0.0421999990940094,0.978010892868042,-999.0,13.418000221252441,112.74231719970703,4,0.9959999918937683,24,-1,,16.096200942993164,80.88238525390625,2458369.0,1,5,1,5.608381748199463,8.243977546691895,0.32499998807907104,-0.0020000000949949026,,,25.57009506225586,0.5580000281333923,2458067.0,2.6339550018310547,,,17.64435577392578,2458823.75,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,1.3226540088653564,16.630599975585938,1.1258419752120972,Kulkarni,16.458099365234375,615120224,2851.890869140625,220.60910034179688,,15,0.9975000023841858,,,1069363363840.0,,,,,,,,,,,,,13.493999481201172,0.009999999776482582,-1000.0
ZTF17aacfokn,1036528632415015029,58790.52734375,1,15.283427238464355,13.390290260314941,15.42490005493164,13.413738250732422,0.04821750521659851,0.013005497865378857,0.008899999782443047,0.010213451460003853,112.74238586425781,25.569990158081055,0.631428599357605,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,159,1685.5108642578125,1.0529412031173706,0.5472956895828247,0,,,1.0,15.422900199890137,2.0,,17.73259925842285,,13.454000473022461,0.30578842759132385,1036,13.37600040435791,19.237709045410156,2458166.75,,15.84000015258789,ztf_20191103528611_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458791.0,0,16.632200241088867,-999.0,517,,,0.5197780132293701,0.14147299528121948,17.08489990234375,,,,,0.43073931336402893,16.399799346923828,0.7160000205039978,1.3867112804961485e+17,0.00930000003427267,1.0,-999.0,13.418000221252441,112.74231719970703,1,0.9580000042915344,24,1,,16.096200942993164,141.9568328857422,2458427.0,1,5,29,8.22797679901123,8.16196346282959,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,0.6800000071525574,2458067.0,5.224713325500488,,,20.649612426757812,2458791.0,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,1.3082507848739624,16.630599975585938,0.34508639574050903,Kulkarni,16.458099365234375,615120124,2894.824462890625,177.67550659179688,,15,0.9975000023841858,,,1036528648192.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
ZTF17aacfokn,681504592415015048,58435.50390625,2,15.66694164276123,13.356364250183105,15.523699760437012,13.338284492492676,0.05325654149055481,0.010854065418243408,0.010200000368058681,0.008770442567765713,112.74236297607422,25.57042694091797,0.6066666841506958,13.493999481201172,0.009999999776482582,null,0.9951850175857544,,,7,1766.41845703125,1.0803278684616089,0.5460417866706848,0,,,1.0,15.486800193786621,2.0,,17.73259925842285,,13.454000473022461,1.348824381828308,681,13.37600040435791,20.80896759033203,2458154.75,,15.84000015258789,ztf_20181113504549_000615_zr_c07_o_q1_scimrefdiffimg.fits,2458436.0,0,16.632200241088867,-999.0,111,,,0.5054407715797424,-0.1432420015335083,17.08489990234375,,,,,1.1878291368484497,16.399799346923828,1.3179999589920044,1.3867112804961485e+17,0.010700000450015068,1.0,-999.0,13.418000221252441,112.74231719970703,0,0.9959999918937683,24,1,,16.096200942993164,23.054733276367188,2458369.0,1,5,48,19.444856643676758,9.44180965423584,0.32499998807907104,-0.0020000000949949026,,,25.57009506225586,1.2200000286102295,2458375.0,4.091358661651611,,,19.61505889892578,2458436.0,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,2.4137346744537354,16.630599975585938,-0.38061150908470154,Kulkarni,16.458099365234375,615120224,2821.205810546875,251.29429626464844,,15,0.9975000023841858,,,681504604160.0,,,,,,,,,,,,,13.493999481201172,0.009999999776482582,-1000.0
ZTF17aacfokn,1012464932415015018,58766.46484375,1,15.95621395111084,13.481733322143555,16.08340072631836,13.494091033935547,0.049689870327711105,0.011912329122424126,0.016300000250339508,0.010997709818184376,112.74240112304688,25.569961547851562,0.7342857122421265,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,127,1635.3677978515625,1.0645161867141724,0.5777111053466797,0,,,1.0,16.074499130249023,2.0,,17.73259925842285,,13.454000473022461,0.41545382142066956,1012,13.37600040435791,19.137958526611328,2458166.75,,15.84000015258789,ztf_20191010464919_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458767.0,0,16.632200241088867,-999.0,308,,,0.5426982641220093,0.12718600034713745,17.08489990234375,,,,,0.5391718149185181,16.399799346923828,0.9570000171661377,1.3867112804961485e+17,0.017000000923871994,1.0,-999.0,13.418000221252441,112.74231719970703,0,0.9990000128746033,24,1,,16.096200942993164,17.020627975463867,2458427.0,1,5,18,8.934625625610352,8.108368873596191,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,0.8989999890327454,2458067.0,4.242861270904541,,,20.326261520385742,2458767.0,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,1.656537413597107,16.630599975585938,-0.1849873960018158,Kulkarni,16.458099365234375,615120124,2898.594482421875,173.90550231933594,,15,0.9975000023841858,,,1012464943104.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
ZTF17aacfokn,673370842415015028,58427.37109375,1,15.516708374023438,13.427637100219727,15.60569953918457,13.440183639526367,0.042575277388095856,0.01198589988052845,0.013299999758601189,0.010523837991058826,112.74250030517578,25.56997299194336,0.6833333373069763,13.598999977111816,0.012000000104308128,null,0.9951850175857544,,,24,1707.6087646484375,1.031518578529358,0.5754529237747192,0,,,1.0,15.55109977722168,2.0,,17.73259925842285,,13.454000473022461,0.6340451836585999,673,13.37600040435791,19.195289611816406,2458166.75,,15.84000015258789,ztf_20181105370833_000615_zg_c07_o_q1_scimrefdiffimg.fits,2458427.75,0,16.632200241088867,-999.0,101,,,0.5578696131706238,0.08899199962615967,17.08489990234375,,,,,0.7221786379814148,16.399799346923828,1.440000057220459,1.3867112804961485e+17,0.013700000010430813,1.0,-999.0,13.418000221252441,112.74231719970703,0,0.6539999842643738,24,1,,16.096200942993164,15.206034660339355,2458427.0,1,5,28,16.32561492919922,8.332586288452148,0.42800000309944153,-0.009999999776482582,,,25.570087432861328,1.3960000276565552,2458076.75,3.757634401321411,,,19.36333465576172,2458427.75,615,,13.7298002243042,1.3868112673347994e+17,1.3868112673347994e+17,2.5023767948150635,16.630599975585938,-0.03290583938360214,Kulkarni,16.458099365234375,615120124,2824.258544921875,248.24139404296875,,15,0.9975000023841858,,,673370865664.0,,,,,,,,,,,,,13.598999977111816,0.012000000104308128,-1000.0
