oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.magnr,alert.sigmagnr,alert.ssnamenr,alert.sgscore2,alert.zpclrcov,alert.nmatches,alert.ndethist,alert.ypos,alert.elong,alert.aimagerat,alert.nbad,alert.clrcoeff,alert.neargaia,sgscore1,alert.magapbig,alert.seeratio,alert.ssnrms,alert.sgmag3,alert.magzpscirms,alert.sgmag1,alert.distpsnr1,alert.nid,alert.srmag1,alert.distpsnr3,alert.jdstartref,alert.drb,alert.szmag3,alert.pdiffimfilename,alert.jd,alert.tooflag,alert.srmag3,alert.ssmagnr,alert.ncovhist,alert.dsnrms,alert.dsdiff,alert.bimagerat,alert.magdiff,alert.sgmag2,alert.drbversion,alert.magzpsciunc,alert.zpmed,alert.maggaiabright,alert.distnr,alert.szmag2,alert.aimage,alert.objectidps3,alert.sigmagapbig,alert.sumrat,alert.ssdistnr,alert.simag1,alert.ranr,alert.nneg,alert.classtar,alert.rcid,isdiffpos,alert.magzpsci,alert.simag3,alert.chipsf,alert.jdendref,alert.programid,alert.nmtchps,alert.tblid,alert.scorr,alert.distpsnr2,alert.chinr,alert.sharpnr,alert.neargaiabright,alert.rbversion,alert.decnr,alert.bimage,alert.jdstarthist,alert.magfromlim,alert.clrmed,alert.candid,alert.diffmaglim,alert.jdendhist,alert.field,alert.exptime,alert.szmag1,alert.objectidps1,alert.objectidps2,alert.fwhm,alert.srmag2,alert.sky,alert.programpi,alert.simag2,alert.rfid,alert.xpos,alert.mindtoedge,alert.clrrms,alert.nframesref,alert.sgscore3,alert.clrcounc,alert.maggaia,alert.pid,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr,alert.magref,alert.parent_candid,alert.sigmagref
ZTF17aadfkuj,683478592815015017,58437.48046875,1,19.507099151611328,17.45091438293457,19.25119972229004,17.4083309173584,0.1241379976272583,0.021702269092202187,0.10750000178813934,0.022371454164385796,111.31990051269531,25.77570915222168,0.6733329892158508,17.628000259399414,0.013000000268220901,,0.0008333330042660236,,,56,956.0349731445312,1.0475800037384033,0.3737649917602539,0,,,1.0,19.260700225830078,0.953125,,-999.0,,17.427600860595703,0.12744981050491333,683,17.117900848388672,11.120119094848633,2458154.75,,20.333799362182617,/ztf/archive/sci/2018/1115/478588/ztf_20181115478588_000615_zg_c08_o_q1_scimrefdiffimg.fits.fz,2458438.0,0,21.5408992767334,,152,,,0.3567900061607361,-0.2559010088443756,-999.0,,,,,0.2556689977645874,20.798200607299805,1.2109999656677246,1.3893111100997632e+17,0.1348000019788742,1.0,,17.11949920654297,111.31986999511719,1,0.968999981880188,28,1,,20.926599502563477,1.5407700538635254,2458243.75,1,17,17,11.512800216674805,8.54492473602295,0.46000000834465027,-0.013000000268220901,,,25.775775909423828,1.156000018119812,2458042.0,1.2621099948883057,,,20.5132999420166,2458456.0,615,,17.060400009155273,1.3893111100997632e+17,1.3893111100997632e+17,3.240000009536743,21.98740005493164,0.4744130074977875,Kulkarni,21.28059959411621,615120228,771.343994140625,771.343994140625,,15,0.9348539710044861,,,683478614016.0,,,,,,,,,,,,,17.628000259399414,7.014954966271918e+17,0.013000000268220901
ZTF17aadfkuj,1096424512815010007,58850.42578125,1,18.915225982666016,18.023927688598633,18.909099578857422,18.026634216308594,0.1810375154018402,0.08183173835277557,0.07959999889135361,0.03998961299657822,111.31997680664062,25.775720596313477,0.5871428847312927,17.628000259399414,0.013000000268220901,null,0.0008333330042660236,-9.049999789567664e-06,1749.0,546,904.610107421875,1.0678925514221191,0.2960784435272217,0,-0.05661800131201744,0.33526039123535156,1.0,18.85140037536621,0.8703891634941101,21.14568519592285,-999.0,0.03985900059342384,17.427600860595703,0.3334125578403473,1096,17.117900848388672,10.988042831420898,2458166.75,0.9917882680892944,20.333799362182617,ztf_20200102424502_000615_zg_c08_o_q1_scimrefdiffimg.fits,2458851.0,0,21.5408992767334,-999.0,1018,4.528892993927002,-16.616792678833008,0.2772549092769623,-0.006126000080257654,-999.0,d6_m7,6.036800186848268e-06,26.27899932861328,13.434447288513184,0.3938358426094055,20.798200607299805,1.5099999904632568,1.3893111100997632e+17,0.09520000219345093,1.0,-999.0,17.11949920654297,111.31986999511719,0,0.9399999976158142,28,-1,26.305225372314453,20.926599502563477,2.0776054859161377,2458427.0,1,17,7,16.877025604248047,8.59508228302002,0.46000000834465027,-0.013000000268220901,29.694005966186523,t17_f5_c3,25.775775909423828,1.4140000343322754,2458042.0,1.153577446937561,0.5180000066757202,1.0964245427225887e+18,20.06267738342285,2458851.0,615,30.0,17.060400009155273,1.3893111100997632e+17,1.3893111100997632e+17,5.099999904632568,21.98740005493164,-0.1366667002439499,TESS,21.28059959411621,615120128,834.4522705078125,834.4522705078125,0.2278600037097931,15,0.9348539710044861,1.5662499208701774e-05,17.253955841064453,1096424488960.0,1.0,111.31997680664062,25.775720596313477,18.915225982666016,0.1810375154018402,18.909099578857422,0.07959999889135361,0.5871428847312927,18.023927688598633,0.08183173835277557,18.026634216308594,0.03998961299657822,,,
ZTF17aadfkuj,1140242732815015008,58894.2421875,2,19.403167724609375,17.120532989501953,19.475299835205078,17.129093170166016,0.14454345405101776,0.023119503632187843,0.1551000028848648,0.023357747122645378,111.31991577148438,25.77576446533203,0.9285714030265808,17.262001037597656,0.017000000923871994,null,0.0008333330042660236,-2.2700000954500865e-06,1909.0,672,935.1090087890625,1.107750415802002,0.24936170876026154,0,0.09324300289154053,0.134712815284729,1.0,19.517000198364258,1.1215918064117432,21.065776824951172,-999.0,0.029867999255657196,17.427600860595703,0.13332703709602356,1140,17.117900848388672,10.911866188049316,2458154.75,0.9425303936004639,20.333799362182617,ztf_20200215242685_000615_zr_c08_o_q1_scimrefdiffimg.fits,2458894.75,0,21.5408992767334,-999.0,1206,5.8420515060424805,-15.223725318908691,0.2251063883304596,0.07213199883699417,-999.0,d6_m7,1.5622999853803776e-06,26.358999252319336,13.434447288513184,0.19868510961532593,20.798200607299805,0.5860000252723694,1.3893111100997632e+17,0.20160000026226044,1.0,-999.0,17.11949920654297,111.31986999511719,2,0.9769999980926514,28,1,26.307167053222656,20.926599502563477,3.0556118488311768,2458243.75,1,16,8,5.407094955444336,8.401268005371094,0.8090000152587891,-0.0020000000949949026,29.515575408935547,t17_f5_c3,25.775800704956055,0.5289999842643738,2458042.0,1.0208747386932373,0.5289999842643738,1.140242761149055e+18,20.496173858642578,2458894.75,615,30.0,17.060400009155273,1.3893111100997632e+17,1.3893111100997632e+17,2.3499999046325684,21.98740005493164,-0.17163939774036407,Kulkarni,21.28059959411621,615120228,838.7479248046875,838.7479248046875,0.2363390028476715,15,0.9348539710044861,3.811899887296022e-06,17.253955841064453,1140242776064.0,2.0,111.31991577148438,25.77576446533203,19.403167724609375,0.14454345405101776,19.475299835205078,0.1551000028848648,0.9285714030265808,17.120532989501953,0.023119503632187843,17.129093170166016,0.023357747122645378,,,
ZTF17aadfkuj,1130203362815015003,58884.203125,2,18.800067901611328,17.026229858398438,18.87809944152832,17.041027069091797,0.14306047558784485,0.031096041202545166,0.18619999289512634,0.03698750212788582,111.3199462890625,25.7757511138916,0.918571412563324,17.262001037597656,0.017000000923871994,null,0.0008333330042660236,-4.129999979340937e-06,1905.0,663,917.2833251953125,1.1688144207000732,0.3160278797149658,0,0.09206900000572205,0.21223321557044983,1.0,18.816699981689453,1.1089874505996704,13.294366836547852,-999.0,0.035078998655080795,17.427600860595703,0.2105223685503006,1130,17.117900848388672,10.923349380493164,2458154.75,0.9462801218032837,20.333799362182617,ztf_20200205203368_000615_zr_c08_o_q1_scimrefdiffimg.fits,2458884.75,0,21.5408992767334,-999.0,1195,3.785123109817505,-9.509243965148926,0.2703832685947418,0.07803300023078918,-999.0,d6_m7,2.8557999485201435e-06,26.371000289916992,13.434447288513184,0.2887122333049774,20.798200607299805,0.9070000052452087,1.3893111100997632e+17,0.22470000386238098,0.9873431324958801,-999.0,17.11949920654297,111.31986999511719,4,0.7649999856948853,28,1,26.321067810058594,20.926599502563477,1.2432407140731812,2458243.75,1,16,3,10.441584587097168,8.464920997619629,0.8090000152587891,-0.0020000000949949026,29.597396850585938,t17_f5_c3,25.775800704956055,0.7760000228881836,2458042.0,0.5520273447036743,0.5289999842643738,1.1302033953537393e+18,19.43012809753418,2458884.75,615,30.0,17.060400009155273,1.3893111100997632e+17,1.3893111100997632e+17,2.869999885559082,21.98740005493164,-0.6325569152832031,Kulkarni,21.28059959411621,615120228,800.3629760742188,800.3629760742188,0.23839500546455383,15,0.9348539710044861,6.915900030435296e-06,17.253955841064453,1130203316224.0,2.0,111.3199462890625,25.7757511138916,18.800067901611328,0.14306047558784485,18.87809944152832,0.18619999289512634,0.918571412563324,17.026229858398438,0.031096041202545166,17.041027069091797,0.03698750212788582,,,
ZTF17aadfkuj,1137245132815015009,58891.24609375,1,19.22848892211914,17.40413475036621,19.082000732421875,17.375301361083984,0.12454526871442795,0.025502411648631096,0.15320000052452087,0.03343724459409714,111.3199462890625,25.77579116821289,0.9714285731315613,17.628000259399414,0.013000000268220901,null,0.0008333330042660236,-3.7600000268867007e-06,1896.0,667,907.0949096679688,1.047765851020813,0.28936171531677246,0,-0.05765499919652939,0.2591671943664551,1.0,19.015499114990234,1.0346094369888306,16.633296966552734,-999.0,0.029505999758839607,17.427600860595703,0.2581077814102173,1137,17.117900848388672,10.79049301147461,2458166.75,0.9718491435050964,20.333799362182617,ztf_20200212245127_000615_zg_c08_o_q1_scimrefdiffimg.fits,2458891.75,0,21.5408992767334,-999.0,1200,5.551349639892578,-11.081947326660156,0.2761702239513397,-0.1464879959821701,-999.0,d6_m7,2.5944000299205072e-06,26.298999786376953,13.434447288513184,0.26052433252334595,20.798200607299805,0.6800000071525574,1.3893111100997632e+17,0.18330000340938568,0.9195944666862488,-999.0,17.11949920654297,111.31986999511719,7,0.9610000252723694,28,1,26.32948875427246,20.926599502563477,1.9476985931396484,2458427.0,1,16,9,6.875275611877441,8.329639434814453,0.46000000834465027,-0.013000000268220901,29.613920211791992,t17_f5_c3,25.775775909423828,0.6489999890327454,2458042.0,1.0688066482543945,0.527999997138977,1.1372451488543539e+18,20.150806427001953,2458891.75,615,30.0,17.060400009155273,1.3893111100997632e+17,1.3893111100997632e+17,2.3499999046325684,21.98740005493164,0.25389599800109863,Kulkarni,21.28059959411621,615120128,833.5557861328125,833.5557861328125,0.23862099647521973,15,0.9348539710044861,6.310900062089786e-06,17.253955841064453,1137245159424.0,1.0,111.3199462890625,25.77579116821289,19.22848892211914,0.12454526871442795,19.082000732421875,0.15320000052452087,0.9714285731315613,17.40413475036621,0.025502411648631096,17.375301361083984,0.03343724459409714,,,
