oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.programid,alert.sumrat,alert.fwhm,alert.ndethist,alert.magdiff,alert.sigmagref,alert.xpos,alert.nneg,alert.tblid,alert.parent_candid,alert.ssdistnr,alert.sgmag1,alert.objectidps1,alert.elong,alert.distnr,alert.srmag2,alert.seeratio,alert.magapbig,alert.ncovhist,sgscore1,alert.programpi,alert.classtar,alert.sigmagnr,alert.simag1,alert.szmag3,isdiffpos,alert.magnr,alert.srmag1,alert.jdstartref,alert.ssmagnr,alert.objectidps2,alert.nid,alert.chinr,alert.jdendhist,alert.bimagerat,alert.nframesref,alert.magref,alert.pid,alert.sgscore3,alert.diffmaglim,alert.szmag1,alert.jdstarthist,alert.sgmag3,alert.jdendref,alert.simag3,alert.mindtoedge,alert.simag2,alert.sigmagapbig,alert.field,alert.nmtchps,alert.aimagerat,alert.ranr,alert.bimage,alert.sharpnr,alert.distpsnr2,alert.sgscore2,alert.ssnamenr,alert.tooflag,alert.pdiffimfilename,alert.chipsf,alert.aimage,alert.distpsnr3,alert.rcid,alert.szmag2,alert.objectidps3,alert.decnr,alert.nbad,alert.magfromlim,alert.jd,alert.sky,alert.ypos,alert.scorr,alert.rfid,alert.distpsnr1,alert.srmag3,alert.sgmag2,alert.neargaia,alert.magzpsciunc,alert.drbversion,alert.exptime,alert.nmatches,alert.neargaiabright,alert.maggaia,alert.magzpsci,alert.drb,alert.clrcoeff,alert.clrcounc,alert.zpclrcov,alert.rbversion,alert.candid,alert.ssnrms,alert.magzpscirms,alert.zpmed,alert.dsnrms,alert.clrrms,alert.maggaiabright,alert.dsdiff,alert.clrmed,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr
ZTF17aacjxza,833206342715010000,58587.20703125,1,18.593950271606445,16.71027374267578,18.527999877929688,16.698345184326172,0.1306484490633011,0.025413449853658676,0.16380000114440918,0.03216375410556793,112.80874633789062,25.098140716552734,0.7714285850524902,1,1.0,1.8300000429153442,56,-0.06595099717378616,0.013000000268220901,2626.23095703125,3,0,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.098807454109192,0.09112904965877533,17.96820068359375,1.331432580947876,18.381900787353516,182,0.9982500076293945,Kulkarni,0.9789999723434448,0.013000000268220901,16.234600067138672,-999.0,-1,16.92099952697754,16.239299774169922,2458166.75,-999.0,1.381111244437586e+17,833,0.6629999876022339,2458587.75,0.32076501846313477,15,16.92099952697754,833206353920.0,0.5,19.50630760192871,16.0221004486084,2458046.0,-999.0,2458439.0,21.497400283813477,303.9825134277344,17.853900909423828,0.18330000340938568,615,6,0.35245901346206665,112.8087387084961,0.5870000123977661,-0.03400000184774399,8.41955280303955,0.9947919845581055,null,0,ztf_20190414206308_000615_zg_c07_o_q4_scimrefdiffimg.fits,1.7241301536560059,0.6449999809265137,20.204463958740234,27,17.836599349975586,1.3812113171755827e+17,25.098115921020508,0,0.9783074855804443,2458587.75,1.1389960050582886,303.9825134277344,7.66893196105957,615120127,0.14716337621212006,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,727429282715010004,58481.4296875,2,18.8839168548584,16.24408721923828,18.629199981689453,16.21913719177246,0.14896416664123535,0.01649768464267254,0.09109999984502792,0.013931403867900372,112.80867004394531,25.098186492919922,0.6333333253860474,1,1.0,1.5255452394485474,36,-0.25471600890159607,0.010999999940395355,2622.75,0,4,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.1052082777023315,0.27299609780311584,17.96820068359375,2.0,18.625699996948242,143,0.9982500076293945,Kulkarni,0.5329999923706055,0.010999999940395355,16.234600067138672,-999.0,-1,16.3439998626709,16.239299774169922,2458154.75,-999.0,1.381111244437586e+17,727,0.2879999876022339,2458482.0,0.6292831897735596,15,16.3439998626709,727429283840.0,0.5,20.097238540649414,16.0221004486084,2458046.0,-999.0,2458381.0,21.497400283813477,386.4906921386719,17.853900909423828,0.11320000141859055,615,6,0.6954890489578247,112.8087387084961,0.9599999785423279,0.004999999888241291,8.143210411071777,0.9947919845581055,null,0,ztf_20181229429282_000615_zr_c07_o_q4_scimrefdiffimg.fits,3.9618232250213623,1.0609999895095825,19.933208465576172,27,17.836599349975586,1.3812113171755827e+17,25.098133087158203,0,1.468038558959961,2458482.0,-0.23990079760551453,386.4906921386719,6.298233509063721,615120227,0.3784148097038269,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,732450722715015007,58486.44921875,2,19.235950469970703,16.27084732055664,19.379899978637695,16.279666900634766,0.18388834595680237,0.01578933745622635,0.17430000007152557,0.014423380605876446,112.8087158203125,25.09815788269043,0.6600000262260437,1,0.9437873959541321,1.6527204513549805,37,0.14395000040531158,0.010999999940395355,2619.68017578125,5,7,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.1173553466796875,0.10361985862255096,17.96820068359375,2.0,19.254899978637695,144,0.9982500076293945,Kulkarni,0.7789999842643738,0.010999999940395355,16.234600067138672,-999.0,1,16.3439998626709,16.239299774169922,2458154.75,-999.0,1.381111244437586e+17,732,0.2879999876022339,2458487.0,0.36606311798095703,15,16.3439998626709,732450717696.0,0.5,20.082963943481445,16.0221004486084,2458046.0,-999.0,2458381.0,21.497400283813477,349.2029113769531,17.853900909423828,0.19220000505447388,615,6,0.40902259945869446,112.8087387084961,0.6050000190734863,0.004999999888241291,8.28906536102295,0.9947919845581055,null,0,ztf_20190103450718_000615_zr_c07_o_q4_scimrefdiffimg.fits,1.8462543487548828,0.6759999990463257,20.08751106262207,27,17.836599349975586,1.3812113171755827e+17,25.098133087158203,0,0.7030639052391052,2458487.0,0.2538541853427887,349.2029113769531,7.883662223815918,615120227,0.22620785236358643,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,678366152715010003,58432.3671875,2,18.41185188293457,16.19330596923828,18.385499954223633,16.18985366821289,0.08017086982727051,0.014128483831882477,0.07270000129938126,0.013552755117416382,112.8086166381836,25.098148345947266,0.7900000214576721,1,1.0,2.3499999046325684,18,-0.02635199949145317,0.010999999940395355,2619.35498046875,1,3,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.0332512855529785,0.39969050884246826,17.96820068359375,1.1030858755111694,18.47260093688965,109,0.9982500076293945,Kulkarni,0.6790000200271606,0.010999999940395355,16.234600067138672,-999.0,-1,16.3439998626709,16.239299774169922,2458154.75,-999.0,1.381111244437586e+17,678,0.2879999876022339,2458432.75,0.3455319106578827,15,16.3439998626709,678366150656.0,0.5,20.279247283935547,16.0221004486084,2458046.0,-999.0,2458381.0,21.497400283813477,331.1675109863281,17.853900909423828,0.09809999912977219,615,6,0.3570212721824646,112.8087387084961,0.8119999766349792,0.004999999888241291,7.982445240020752,0.9947919845581055,null,0,ztf_20181110366146_000615_zr_c07_o_q4_scimrefdiffimg.fits,5.225237846374512,0.8389999866485596,19.939971923828125,27,17.836599349975586,1.3812113171755827e+17,25.098133087158203,0,1.8937468528747559,2458432.75,-0.40797749161720276,331.1675109863281,6.23235559463501,615120227,0.4502767026424408,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,736214362715010007,58490.21484375,2,18.63405418395996,16.219663619995117,18.541000366210938,16.20920181274414,0.11940571665763855,0.016222286969423294,0.07559999823570251,0.013126554898917675,112.80870056152344,25.098072052001953,0.6433333158493042,1,0.9997166395187378,1.4227230548858643,38,-0.09305500239133835,0.010999999940395355,2621.626220703125,3,7,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.0967007875442505,0.24772696197032928,17.96820068359375,2.0,18.51689910888672,145,0.9982500076293945,Kulkarni,0.953000009059906,0.010999999940395355,16.234600067138672,-999.0,-1,16.3439998626709,16.239299774169922,2458154.75,-999.0,1.381111244437586e+17,736,0.2879999876022339,2458490.75,0.6178293228149414,15,16.3439998626709,736214384640.0,0.5,20.320188522338867,16.0221004486084,2458046.0,-999.0,2458381.0,21.497400283813477,353.072998046875,17.853900909423828,0.09149999916553497,615,6,0.6775739192962646,112.8087387084961,0.8790000081062317,0.004999999888241291,8.313955307006836,0.9947919845581055,null,0,ztf_20190107214352_000615_zr_c07_o_q4_scimrefdiffimg.fits,3.9304792881011963,0.9639999866485596,20.318767547607422,27,17.836599349975586,1.3812113171755827e+17,25.098133087158203,0,1.7791889905929565,2458490.75,0.13835079967975616,353.072998046875,6.36830997467041,615120227,0.17241917550563812,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,972488832715015001,58726.48828125,1,19.3270206451416,16.808629989624023,19.21150016784668,16.796710968017578,0.20944930613040924,0.023695548996329308,0.1859000027179718,0.02321077510714531,112.80870056152344,25.097829818725586,0.7528571486473083,1,0.994685709476471,1.5613490343093872,95,-0.11552000045776367,0.013000000268220901,2711.109375,3,1,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.3623977899551392,1.0239958763122559,17.96820068359375,2.0,19.077600479125977,284,0.9982500076293945,Kulkarni,0.8539999723434448,0.013000000268220901,16.234600067138672,-999.0,1,16.92099952697754,16.239299774169922,2458166.75,-999.0,1.381111244437586e+17,972,0.6629999876022339,2458727.0,0.4701062738895416,15,16.92099952697754,972488835072.0,0.5,19.835533142089844,16.0221004486084,2458046.0,-999.0,2458439.0,21.497400283813477,210.2541961669922,17.853900909423828,0.20720000565052032,615,5,0.6404717564582825,112.8087387084961,0.734000027179718,-0.03400000184774399,8.589424133300781,0.9947919845581055,null,0,ztf_20190831488831_000615_zg_c07_o_q4_scimrefdiffimg.fits,1.2489229440689087,1.0,21.070138931274414,27,17.836599349975586,1.3812113171755827e+17,25.098115921020508,0,0.6240335702896118,2458727.0,-0.34460359811782837,210.2541961669922,5.640715599060059,615120127,0.9823639392852783,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,1066238622715010002,58820.23828125,1,18.77509880065918,16.740114212036133,18.753599166870117,16.736785888671875,0.20083093643188477,0.03272611275315285,0.24699999392032623,0.040076326578855515,112.80876922607422,25.09811019897461,0.8999999761581421,1,0.9682842493057251,1.3345378637313843,241,-0.02149900048971176,0.013000000268220901,2648.691162109375,5,2,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.1471999883651733,0.08963923156261444,17.96820068359375,2.0,18.559099197387695,766,0.9982500076293945,Kulkarni,0.8999999761581421,0.013000000268220901,16.234600067138672,-999.0,-1,16.92099952697754,16.239299774169922,2458166.75,-999.0,1.381111244437586e+17,1066,0.6629999876022339,2458820.75,0.4683269262313843,15,16.92099952697754,1066238607360.0,0.5,19.191688537597656,16.0221004486084,2458046.0,-999.0,2458439.0,21.497400283813477,277.58709716796875,17.853900909423828,0.2639999985694885,615,6,0.5372646450996399,112.8087387084961,0.625,-0.03400000184774399,8.503827095031738,0.9947919845581055,null,0,ztf_20191203238611_000615_zg_c07_o_q4_scimrefdiffimg.fits,1.690299153327942,0.7170000076293945,20.33004379272461,27,17.836599349975586,1.3812113171755827e+17,25.098115921020508,0,0.438088595867157,2458820.75,0.1309618055820465,277.58709716796875,9.852598190307617,615120127,0.09446364641189575,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,1030485212715010004,58784.484375,1,19.10396385192871,16.78455352783203,19.13479995727539,16.788148880004883,0.18849904835224152,0.02503982186317444,0.12890000641345978,0.018780328333377838,112.80879211425781,25.098087310791016,0.6514285802841187,1,1.0,2.273608446121216,157,0.03083699941635132,0.013000000268220901,2691.97900390625,0,4,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.0379838943481445,0.19984401762485504,17.96820068359375,2.0,19.15570068359375,498,0.9982500076293945,Kulkarni,0.5559999942779541,0.013000000268220901,16.234600067138672,-999.0,-1,16.92099952697754,16.239299774169922,2458166.75,-999.0,1.381111244437586e+17,1030,0.6629999876022339,2458785.0,0.6021265387535095,15,16.92099952697754,1030485180416.0,0.5,19.761760711669922,16.0221004486084,2458046.0,-999.0,2458439.0,21.497400283813477,271.3493957519531,17.853900909423828,0.16500000655651093,615,6,0.6249976754188538,112.8087387084961,1.36899995803833,-0.03400000184774399,8.606765747070312,0.9947919845581055,null,0,ztf_20191028485208_000615_zg_c07_o_q4_scimrefdiffimg.fits,1.235013484954834,1.4210000038146973,20.44441032409668,27,17.836599349975586,1.3812113171755827e+17,25.098115921020508,0,0.6269598007202148,2458785.0,0.664691686630249,271.3493957519531,9.620000839233398,615120127,0.18035799264907837,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,1044434512715010001,58798.43359375,2,18.269166946411133,16.173723220825195,18.072999954223633,16.142953872680664,0.0883897989988327,0.015906909480690956,0.0940999984741211,0.018345661461353302,112.8086929321289,25.098115921020508,0.9485714435577393,1,0.9984294176101685,1.335720419883728,237,-0.1961670070886612,0.010999999940395355,2694.549560546875,3,1,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.0422885417938232,0.1578257977962494,17.96820068359375,2.0,18.05579948425293,751,0.9982500076293945,Kulkarni,0.6679999828338623,0.010999999940395355,16.234600067138672,-999.0,-1,16.3439998626709,16.239299774169922,2458154.75,-999.0,1.381111244437586e+17,1044,0.2879999876022339,2458799.0,0.601922333240509,15,16.3439998626709,1044434518016.0,0.5,19.571022033691406,16.0221004486084,2458046.0,-999.0,2458381.0,21.497400283813477,270.3912048339844,17.853900909423828,0.11800000071525574,615,6,0.6273767948150635,112.8087387084961,0.8040000200271606,0.004999999888241291,8.262913703918457,0.9947919845581055,null,0,ztf_20191111434514_000615_zr_c07_o_q4_scimrefdiffimg.fits,4.42589807510376,0.8379999995231628,20.1820011138916,27,17.836599349975586,1.3812113171755827e+17,25.098133087158203,0,1.4980229139328003,2458799.0,-0.6916816830635071,270.3912048339844,15.903411865234375,615120227,0.16426855325698853,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF17aacjxza,726435622715010005,58480.4375,2,19.12742042541504,16.26343536376953,18.881099700927734,16.243839263916016,0.14257743954658508,0.014432020485401154,0.12409999966621399,0.01483963057398796,112.80858612060547,25.0980167388916,0.6800000071525574,1,1.0,1.4888807535171509,35,-0.24632099270820618,0.010999999940395355,2614.683349609375,0,5,-1000.0,-999.0,16.863100051879883,1.381111244437586e+17,1.1110048294067383,0.6385135650634766,17.96820068359375,2.0,18.874099731445312,140,0.9982500076293945,Kulkarni,0.703000009059906,0.010999999940395355,16.234600067138672,-999.0,-1,16.3439998626709,16.239299774169922,2458154.75,-999.0,1.381111244437586e+17,726,0.2879999876022339,2458481.0,0.701869547367096,15,16.3439998626709,726435627008.0,0.5,20.02248191833496,16.0221004486084,2458046.0,-999.0,2458381.0,21.497400283813477,371.7073974609375,17.853900909423828,0.15440000593662262,615,6,0.779780387878418,112.8087387084961,1.0449999570846558,0.004999999888241291,8.019137382507324,0.9947919845581055,null,0,ztf_20181228435590_000615_zr_c07_o_q4_scimrefdiffimg.fits,2.1940999031066895,1.1610000133514404,20.299657821655273,27,17.836599349975586,1.3812113171755827e+17,25.098133087158203,0,1.1413826942443848,2458481.0,0.12915709614753723,371.7073974609375,8.376253128051758,615120227,0.5869401693344116,21.508699417114258,18.309799194335938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
