oid,candid,mjd,fid,magpsf,magpsf_corr,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmagap,sigmagap_corr,ra,dec,rb,alert.magnr,alert.sigmagnr,alert.ssnamenr,alert.sgscore2,alert.zpclrcov,alert.nmatches,alert.ndethist,alert.ypos,alert.elong,alert.aimagerat,alert.nbad,alert.clrcoeff,alert.neargaia,sgscore1,alert.magapbig,alert.seeratio,alert.ssnrms,alert.sgmag3,alert.magzpscirms,alert.sgmag1,alert.distpsnr1,alert.nid,alert.srmag1,alert.distpsnr3,alert.jdstartref,alert.drb,alert.szmag3,alert.pdiffimfilename,alert.jd,alert.tooflag,alert.srmag3,alert.ssmagnr,alert.ncovhist,alert.dsnrms,alert.dsdiff,alert.bimagerat,alert.magdiff,alert.sgmag2,alert.drbversion,alert.magzpsciunc,alert.zpmed,alert.maggaiabright,alert.distnr,alert.szmag2,alert.aimage,alert.objectidps3,alert.sigmagapbig,alert.sumrat,alert.ssdistnr,alert.simag1,alert.ranr,alert.nneg,alert.classtar,alert.rcid,isdiffpos,alert.magzpsci,alert.simag3,alert.chipsf,alert.jdendref,alert.programid,alert.nmtchps,alert.tblid,alert.scorr,alert.distpsnr2,alert.chinr,alert.sharpnr,alert.neargaiabright,alert.rbversion,alert.decnr,alert.bimage,alert.jdstarthist,alert.magfromlim,alert.clrmed,alert.candid,alert.diffmaglim,alert.jdendhist,alert.field,alert.exptime,alert.szmag1,alert.objectidps1,alert.objectidps2,alert.fwhm,alert.srmag2,alert.sky,alert.programpi,alert.simag2,alert.rfid,alert.xpos,alert.mindtoedge,alert.clrrms,alert.nframesref,alert.sgscore3,alert.clrcounc,alert.maggaia,alert.pid,alert.fid,alert.ra,alert.dec,alert.magpsf,alert.sigmapsf,alert.magap,alert.sigmagap,alert.rb,alert.magpsf_corr,alert.sigmapsf_corr,alert.magap_corr,alert.sigmagap_corr,alert.sigmagref,alert.parent_candid,alert.magref
ZTF17aadgkoj,1184159742015010018,58938.16015625,2,19.37185287475586,18.422521591186523,19.677000045776367,18.316871643066406,0.12863609194755554,0.05771467834711075,0.23839999735355377,0.07079442590475082,115.15699005126953,25.685911178588867,0.9228571653366089,18.04400062561035,0.014999999664723873,null,0.9839580059051514,-5.49000014871126e-06,1434.0,362,1304.906982421875,1.1164921522140503,0.26165643334388733,0,0.09719400107860565,0.12956537306308746,0.977666974067688,19.659400939941406,0.9979889988899231,12.921223640441895,22.061800003051758,0.0405769981443882,17.385700225830078,0.13175854086875916,1184,17.78820037841797,14.934523582458496,2458154.75,0.9999994039535522,19.431699752807617,ztf_20200330158634_000615_zr_c06_o_q1_scimrefdiffimg.fits,2458938.75,0,21.037399291992188,-999.0,1331,2.9671759605407715,-9.954047203063965,0.23435582220554352,0.3051469922065735,-999.0,d6_m7,4.245000127411913e-06,26.31100082397461,13.651771545410156,0.26976585388183594,20.27359962463379,0.8529999852180481,1.3882115125726413e+17,0.29980000853538513,1.0,-999.0,17.778900146484375,115.15695190429688,1,0.9639999866485596,20,-1,26.249853134155273,20.025299072265625,1.2656259536743164,2458372.0,1,10,18,11.324191093444824,13.253324508666992,0.7239999771118164,-0.007000000216066837,85.21543884277344,t17_f5_c3,25.685972213745117,0.7639999985694885,2458042.0,0.258929967880249,0.5820000171661377,1.184159729463591e+18,19.935930252075195,2458938.75,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,3.259999990463257,21.878799438476562,0.3460705876350403,Kulkarni,20.777700424194336,615120220,1745.199951171875,1304.906982421875,0.27720698714256287,15,0.9874579906463623,8.353799785254523e-06,17.76076889038086,1184159760384.0,,,,,,,,,,,,,,,
ZTF17aadgkoj,1146298032015010029,58900.296875,1,18.767719268798828,18.078899383544922,18.92259979248047,18.004940032958984,0.10082163661718369,0.05704089254140854,0.08309999853372574,0.04023750126361847,115.15705108642578,25.685951232910156,0.9428571462631226,17.617000579833984,0.013000000268220901,null,0.9839580059051514,-1.7050000678864308e-05,1420.0,345,1240.8653564453125,1.1584699153900146,0.32121211290359497,0,-0.1316470056772232,0.26932042837142944,0.977666974067688,18.97319984436035,1.134348750114441,32.925498962402344,22.061800003051758,0.06412199884653091,17.385700225830078,0.26894503831863403,1146,17.78820037841797,14.692798614501953,2458166.75,0.9999998211860657,19.431699752807617,ztf_20200221298032_000615_zg_c06_o_q1_scimrefdiffimg.fits,2458900.75,0,21.037399291992188,-999.0,1286,12.884237289428711,-20.041261672973633,0.2772727310657501,0.15488100051879883,-999.0,d6_m7,1.302760028920602e-05,26.204999923706055,13.651771545410156,0.27686411142349243,20.27359962463379,0.8479999899864197,1.3882115125726413e+17,0.1096000000834465,1.0,-999.0,17.778900146484375,115.15696716308594,1,0.9819999933242798,20,-1,26.28571891784668,20.025299072265625,3.1850428581237793,2458430.0,1,11,29,19.622705459594727,13.486959457397461,0.460999995470047,-0.020999999716877937,85.13314819335938,t17_f5_c3,25.685972213745117,0.7319999933242798,2458042.0,1.5357422828674316,0.5740000009536743,1.1462980465611244e+18,20.458341598510742,2458900.75,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,2.640000104904175,21.878799438476562,-0.15642879903316498,Kulkarni,20.777700424194336,615120120,1742.96240234375,1240.8653564453125,0.2741580009460449,15,0.9874579906463623,2.6318000891478732e-05,17.76076889038086,1146298040320.0,,,,,,,,,,,,,,,
ZTF17aadgkoj,1113390592015010036,58867.390625,1,19.05950355529785,17.951059341430664,19.34939956665039,17.863065719604492,0.12438738346099854,0.04817531257867813,0.12240000069141388,0.03514675423502922,115.15705871582031,25.68596839904785,0.8971428275108337,17.617000579833984,0.013000000268220901,null,0.9839580059051514,-1.807000080589205e-05,1426.0,257,1273.5728759765625,1.218845009803772,0.30264151096343994,0,-0.12589900195598602,0.2937968075275421,0.977666974067688,19.28619956970215,1.0440270900726318,27.500682830810547,22.061800003051758,0.06489799916744232,17.385700225830078,0.29287266731262207,1113,17.78820037841797,14.644415855407715,2458166.75,0.9999998807907104,19.431699752807617,ztf_20200119390579_000615_zg_c06_o_q1_scimrefdiffimg.fits,2458868.0,0,21.037399291992188,-999.0,1168,13.199580192565918,-14.301102638244629,0.2483018934726715,0.28989699482917786,-999.0,d6_m7,1.3894899893784896e-05,26.216999053955078,13.651771545410156,0.2759522795677185,20.27359962463379,0.8019999861717224,1.3882115125726413e+17,0.14550000429153442,1.0,-999.0,17.778900146484375,115.15696716308594,2,0.9819999933242798,20,-1,26.292503356933594,20.025299072265625,3.157226324081421,2458430.0,1,11,36,17.67867660522461,13.542623519897461,0.460999995470047,-0.020999999716877937,85.16046142578125,t17_f5_c3,25.685972213745117,0.6579999923706055,2458042.0,1.2002571821212769,0.5770000219345093,1.113390625614463e+18,20.549657821655273,2458868.0,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,2.6500000953674316,21.878799438476562,-0.07023897022008896,TESS,20.777700424194336,615120120,1749.16845703125,1273.5728759765625,0.2758390009403229,15,0.9874579906463623,2.770249921013601e-05,17.76076889038086,1113390579712.0,1.0,115.15705871582031,25.68596839904785,19.05950355529785,0.12438738346099854,19.34939956665039,0.12240000069141388,0.8971428275108337,17.951059341430664,0.04817531257867813,17.863065719604492,0.03514675423502922,,,
ZTF17aadgkoj,1109229062015015007,58863.23046875,2,18.45119285583496,17.476043701171875,18.24690055847168,17.38814353942871,0.12786027789115906,0.0528339147567749,0.2117999941110611,0.09638286381959915,115.156982421875,25.685897827148438,0.9142857193946838,18.04400062561035,0.014999999664723873,null,0.9839580059051514,-1.607999911357183e-05,1351.0,253,1249.9134521484375,1.0931122303009033,0.4023474156856537,0,0.09393499791622162,0.15669256448745728,0.977666974067688,18.614099502563477,1.2641472816467285,10.954733848571777,22.061800003051758,0.0563649982213974,17.385700225830078,0.1592656522989273,1109,17.78820037841797,14.99165153503418,2458154.75,0.9999840259552002,19.431699752807617,ztf_20200115229062_000615_zr_c06_o_q1_scimrefdiffimg.fits,2458863.75,0,21.037399291992188,-999.0,1158,6.1806488037109375,-4.77408504486084,0.36807510256767273,-0.20429299771785736,-999.0,d6_m7,1.2404900189721957e-05,25.190000534057617,13.651771545410156,0.28253600001335144,20.27359962463379,0.8569999933242798,1.3882115125726413e+17,0.38040000200271606,1.0,-999.0,17.778900146484375,115.15695190429688,3,0.9959999918937683,20,1,25.131193161010742,20.025299072265625,1.0876673460006714,2458372.0,1,10,7,8.942535400390625,13.195296287536621,0.7239999771118164,-0.007000000216066837,85.22118377685547,t17_f5_c3,25.685972213745117,0.7839999794960022,2458042.0,0.5855579376220703,0.5789999961853027,1.1092290428228076e+18,18.83245849609375,2458863.75,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,2.130000114440918,21.878799438476562,-0.31348899006843567,TESS,20.777700424194336,615120220,1726.20166015625,1249.9134521484375,0.27521300315856934,15,0.9874579906463623,2.4515800760127604e-05,17.76076889038086,1109229043712.0,2.0,115.156982421875,25.685897827148438,18.45119285583496,0.12786027789115906,18.24690055847168,0.2117999941110611,0.9142857193946838,17.476043701171875,0.0528339147567749,17.38814353942871,0.09638286381959915,,,
ZTF17aadgkoj,1099457122015010052,58853.45703125,1,18.83628273010254,18.044227600097656,19.063499450683594,17.949623107910156,0.06712799519300461,0.03766661137342453,0.0940999984741211,0.038075078278779984,115.15702819824219,25.685977935791016,0.8742856979370117,17.617000579833984,0.013000000268220901,null,0.9839580059051514,-1.813000017136801e-05,1433.0,248,1266.612548828125,1.0922819375991821,0.2690082788467407,0,-0.1417980045080185,0.24271593987941742,0.977666974067688,19.126399993896484,1.036383867263794,47.504249572753906,22.061800003051758,0.06772399693727493,17.385700225830078,0.24119925498962402,1099,17.78820037841797,14.678430557250977,2458166.75,0.9999998807907104,19.431699752807617,ztf_20200105457106_000615_zg_c06_o_q1_scimrefdiffimg.fits,2458854.0,0,21.037399291992188,-999.0,1135,31.312105178833008,-16.1921443939209,0.2462809979915619,0.22721700370311737,-999.0,d6_m7,1.393329966958845e-05,26.21500015258789,13.651771545410156,0.2124244123697281,20.27359962463379,0.6510000228881836,1.3882115125726413e+17,0.12540000677108765,0.9928417801856995,-999.0,17.778900146484375,115.15696716308594,4,0.9829999804496765,20,-1,26.30128288269043,20.025299072265625,5.626619338989258,2458430.0,1,11,52,13.464300155639648,13.524849891662598,0.460999995470047,-0.020999999716877937,85.24305725097656,t17_f5_c3,25.685972213745117,0.5960000157356262,2458042.0,1.5941994190216064,0.5770000219345093,1.0994571332309484e+18,20.657699584960938,2458854.0,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,2.4200000762939453,21.878799438476562,-0.7807806134223938,TESS,20.777700424194336,615120120,1723.808349609375,1266.612548828125,0.27651700377464294,15,0.9874579906463623,2.7828800739371218e-05,17.76076889038086,1099457101824.0,1.0,115.15702819824219,25.685977935791016,18.83628273010254,0.06712799519300461,19.063499450683594,0.0940999984741211,0.8742856979370117,18.044227600097656,0.03766661137342453,17.949623107910156,0.038075078278779984,,,
ZTF17aadgkoj,1098475522015010034,58852.4765625,1,18.577585220336914,18.19508171081543,18.633399963378906,18.157489776611328,0.05047633498907089,0.041828252375125885,0.066600002348423,0.047993067651987076,115.15701293945312,25.685964584350586,0.927142858505249,17.617000579833984,0.013000000268220901,null,0.9839580059051514,-1.4209999790182337e-05,1443.0,247,1265.8050537109375,1.0388349294662476,0.24787645041942596,0,-0.12087500095367432,0.17438364028930664,0.977666974067688,18.55419921875,0.9683586955070496,60.277198791503906,22.061800003051758,0.05964500084519386,17.385700225830078,0.1730358749628067,1098,17.78820037841797,14.748398780822754,2458166.75,1.0,19.431699752807617,ztf_20200104475521_000615_zg_c06_o_q1_scimrefdiffimg.fits,2458853.0,0,21.037399291992188,-999.0,1080,44.71335220336914,-15.563846588134766,0.23861004412174225,0.05581500008702278,-999.0,d6_m7,1.0988899703079369e-05,26.214000701904297,13.651771545410156,0.16696637868881226,20.27359962463379,0.6420000195503235,1.3882115125726413e+17,0.07819999754428864,0.9684993624687195,-999.0,17.778900146484375,115.15696716308594,5,0.9829999804496765,20,-1,26.28958511352539,20.025299072265625,5.633106708526611,2458430.0,1,11,34,17.74908447265625,13.45510482788086,0.460999995470047,-0.020999999716877937,85.25634765625,t17_f5_c3,25.685972213745117,0.6179999709129333,2458042.0,1.9628159999847412,0.5799999833106995,1.0984755442252513e+18,20.596216201782227,2458853.0,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,2.5899999141693115,21.878799438476562,-0.9035047292709351,TESS,20.777700424194336,615120120,1711.7811279296875,1265.8050537109375,0.278313010931015,15,0.9874579906463623,2.170309926441405e-05,17.76076889038086,1098475503616.0,1.0,115.15701293945312,25.685964584350586,18.577585220336914,0.05047633498907089,18.633399963378906,0.066600002348423,0.927142858505249,18.19508171081543,0.041828252375125885,18.157489776611328,0.047993067651987076,,,
ZTF17aadgkoj,1137245132015010012,58891.24609375,1,18.750354766845703,18.088220596313477,18.8341007232666,18.04528045654297,0.08399277925491333,0.049859870225191116,0.12389999628067017,0.0629437118768692,115.15697479248047,25.685989379882812,0.9585714340209961,17.617000579833984,0.013000000268220901,null,0.9839580059051514,-6.310000117082382e-06,1390.0,333,1286.6607666015625,1.017268419265747,0.2879999876022339,0,-0.08115100115537643,0.17250454425811768,0.977666974067688,18.84630012512207,1.0989084243774414,31.68986701965332,22.061800003051758,0.03787999972701073,17.385700225830078,0.1698588728904724,1137,17.78820037841797,14.806103706359863,2458166.75,1.0,19.431699752807617,ztf_20200212245127_000615_zg_c06_o_q1_scimrefdiffimg.fits,2458891.75,0,21.037399291992188,-999.0,1261,21.450416564941406,-10.239450454711914,0.2831111252307892,0.08374600112438202,-999.0,d6_m7,4.7282001105486415e-06,26.29199981689453,13.651771545410156,0.05925830453634262,20.27359962463379,0.6480000019073486,1.3882115125726413e+17,0.1598999947309494,1.0,-999.0,17.778900146484375,115.15696716308594,1,0.9900000095367432,20,-1,26.33535385131836,20.025299072265625,3.142089605331421,2458430.0,1,11,12,18.417266845703125,13.434406280517578,0.460999995470047,-0.020999999716877937,85.42710876464844,t17_f5_c3,25.685972213745117,0.6370000243186951,2458042.0,1.2703092098236084,0.5659999847412109,1.1372451488543539e+18,20.104408264160156,2458891.75,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,2.25,21.878799438476562,-0.04056144878268242,Kulkarni,20.777700424194336,615120120,1746.8193359375,1286.6607666015625,0.2656550109386444,15,0.9874579906463623,9.889599823509343e-06,17.76076889038086,1137245159424.0,1.0,115.15697479248047,25.685989379882812,18.750354766845703,0.08399277925491333,18.8341007232666,0.12389999628067017,0.9585714340209961,18.088220596313477,0.049859870225191116,18.04528045654297,0.0629437118768692,,,
ZTF17aadgkoj,1096424512015010070,58850.42578125,1,18.78954315185547,18.067502975463867,19.205900192260742,17.902807235717773,0.07286370545625687,0.042327165603637695,0.10909999907016754,0.036952562630176544,115.15715789794922,25.68592071533203,0.5714285969734192,17.617000579833984,0.013000000268220901,null,0.9839580059051514,-2.255000072182156e-05,1192.0,244,1284.8935546875,1.093299388885498,0.24412879347801208,0,-0.06316699832677841,0.6193941235542297,0.977666974067688,19.303800582885742,0.8347676396369934,21.478151321411133,22.061800003051758,0.05285000056028366,17.385700225830078,0.6196756958961487,1096,17.78820037841797,14.50255298614502,2458166.75,0.9975473880767822,19.431699752807617,ztf_20200102424502_000615_zg_c06_o_q1_scimrefdiffimg.fits,2458851.0,0,21.037399291992188,-999.0,1022,8.979422569274902,-12.49872875213623,0.2232954502105713,0.41635701060295105,-999.0,d6_m7,1.5526700735790655e-05,26.22949981689453,13.651771545410156,0.634088397026062,20.27359962463379,1.2890000343322754,1.3882115125726413e+17,0.15060000121593475,1.0,-999.0,17.778900146484375,115.15696716308594,0,0.9509999752044678,20,-1,26.26154327392578,20.025299072265625,1.6599736213684082,2458430.0,1,11,70,15.150409698486328,13.621358871459961,0.460999995470047,-0.020999999716877937,84.78314971923828,t17_f5_c3,25.685972213745117,1.1790000200271606,2458042.0,0.8148707747459412,0.5350000262260437,1.0964245427225887e+18,20.020771026611328,2458851.0,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,5.28000020980835,21.878799438476562,-0.09550991654396057,TESS,20.777700424194336,615120120,1748.0203857421875,1284.8935546875,0.23795799911022186,15,0.9874579906463623,3.803410072578117e-05,17.76076889038086,1096424488960.0,1.0,115.15715789794922,25.68592071533203,18.78954315185547,0.07286370545625687,19.205900192260742,0.10909999907016754,0.5714285969734192,18.067502975463867,0.042327165603637695,17.902807235717773,0.036952562630176544,,,
ZTF17aadgkoj,1092246892015010040,58846.24609375,1,18.589237213134766,18.18696403503418,18.748899459838867,18.089012145996094,0.053604088723659515,0.04304007813334465,0.07840000092983246,0.04717950522899628,115.15707397460938,25.685945510864258,0.9071428775787354,17.617000579833984,0.013000000268220901,null,0.9839580059051514,-1.714000063657295e-05,1433.0,242,1280.8948974609375,1.032171607017517,0.27017542719841003,0,-0.11962100118398666,0.3262491524219513,0.977666974067688,18.698299407958984,1.0237795114517212,40.8777961730957,22.061800003051758,0.0629889965057373,17.385700225830078,0.3261035978794098,1092,17.78820037841797,14.661506652832031,2458166.75,0.9999997615814209,19.431699752807617,ztf_20191229246898_000615_zg_c06_o_q1_scimrefdiffimg.fits,2458846.75,0,21.037399291992188,-999.0,935,19.6908016204834,-21.186994552612305,0.2617543935775757,0.15966199338436127,-999.0,d6_m7,1.3179899724491406e-05,26.190000534057617,13.651771545410156,0.33731675148010254,20.27359962463379,0.7699999809265137,1.3882115125726413e+17,0.09449999779462814,1.0,-999.0,17.778900146484375,115.15696716308594,2,0.9829999804496765,20,-1,26.26323890686035,20.025299072265625,3.704115390777588,2458430.0,1,11,40,24.377904891967773,13.507445335388184,0.460999995470047,-0.020999999716877937,85.0726318359375,t17_f5_c3,25.685972213745117,0.7459999918937683,2458042.0,1.6176942586898804,0.5770000219345093,1.092246879573377e+18,20.366594314575195,2458846.75,615,30.0,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,2.8499999046325684,21.878799438476562,-0.8717185854911804,TESS,20.777700424194336,615120120,1711.255615234375,1280.8948974609375,0.2762869894504547,15,0.9874579906463623,2.6286099455319345e-05,17.76076889038086,1092246896640.0,1.0,115.15707397460938,25.685945510864258,18.589237213134766,0.053604088723659515,18.748899459838867,0.07840000092983246,0.9071428775787354,18.18696403503418,0.04304007813334465,18.089012145996094,0.04717950522899628,,,
ZTF17aadgkoj,813173732015010014,58567.171875,1,19.72439956665039,17.471351623535156,19.625999450683594,17.458498001098633,0.15652400255203247,0.022701360285282135,0.15940000116825104,0.02439248561859131,115.15699005126953,25.68599510192871,0.7857139706611633,17.617000579833984,0.013000000268220901,,0.9839580059051514,,,74,1324.300048828125,1.1602799892425537,0.5149480104446411,0,,,0.977666974067688,19.703899383544922,1.4296400547027588,,22.061800003051758,,17.385700225830078,0.06027109920978546,813,17.78820037841797,14.916062355041504,2458166.75,,19.431699752807617,/ztf/archive/sci/2019/0325/173738/ztf_20190325173738_000615_zg_c06_o_q1_scimrefdiffimg.fits.fz,2458567.75,0,21.037399291992188,,186,,,0.4438140094280243,-0.0983859971165657,-999.0,,,,,0.1109509989619255,20.27359962463379,0.9990000128746033,1.3882115125726413e+17,0.2151000052690506,1.0,,17.778900146484375,115.15696716308594,2,0.8939999938011169,20,-1,,20.025299072265625,1.8643499612808228,2458430.0,1,11,14,8.507869720458984,13.311869621276855,0.460999995470047,-0.020999999716877937,,,25.685972213745117,0.8610000014305115,2458042.0,0.9187319874763489,,,20.544700622558594,2458591.75,615,,17.796499252319336,1.3882115125726413e+17,1.3882115125726413e+17,1.940000057220459,21.878799438476562,0.053348999470472336,Kulkarni,20.777700424194336,615120120,1687.260009765625,1324.300048828125,,15,0.9874579906463623,,,813173702656.0,,,,,,,,,,,,,0.013000000268220901,8.371511796778926e+17,17.617000579833984
