objectId,fid,candid,jd,pid,diffmaglim,pdiffimfilename,programpi,programid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,dec,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,drbversion,candid_parent
ZTF18aazxcwf,1,1007101110115010003,2458761.6011111,1007101110115,19.239826202392578,ztf_20191005101111_000481_zg_c01_o_q2_scimrefdiffimg.fits,Kulkarni,1,f,3,1007,1,481,562.18212890625,1687.2781982421875,242.7772917,2.0558985,16.970956802368164,0.045211199671030045,6.816047191619873,16.91670036315918,0.047200001776218414,0.11891250312328339,15.887999534606934,0.019999999552965164,0.9860000014305115,-0.024000000208616257,0.2209755927324295,-0.054255999624729156,2.0,0.984000027179718,562.18212890625,2.3231253623962402,1.2400975227355957,0.7609999775886536,0.7059999704360962,0.3804999887943268,0.3529999852180481,1.0779036283493042,2,0,0.9585714340209961,-999.0,-999.0,null,1.0,16.906200408935547,0.05950000137090683,242.7773177,2.0559191,16.336299896240234,15.764200210571289,15.859700202941895,15.782099723815918,0.9863690137863159,0.04835944250226021,97.0,139.0,2458281.7097801,2458761.6011111,20.6421794891357,0.0,1.1046242777316757e+17,1.104624278294091e+17,-999.0,-999.0,21.530799865722656,21.141399383544922,0.5295829772949219,20.755523681640625,1.1046242772208206e+17,-999.0,22.09309959411621,21.750499725341797,21.052600860595703,0.23689299821853638,24.683082580566406,6.0,481120101.0,2458203.876829,2458343.669433,15.0,t17_f5_c3,23.533212661743164,55.22319030761719,-31.689977645874023,26.00095558166504,7.623999863426434e-06,0.03845899924635887,1401.0,-0.030263999477028847,1.988320036616642e-05,-1.145999976870371e-05,25.985000610351562,0.5040000081062317,0.22673399746418,0.05506780371069908,80.43731689453125,15.810005187988281,13.423418998718262,30.0,0.9999855756759644,d6_m7,
ZTF18aazxcwf,1,980169140115010006,2458734.6691435,980169140115,19.3882999420166,/ztf/archive/sci/2019/0908/169144/ztf_20190908169144_000481_zg_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,f,6,980,1,481,524.47900390625,1661.8299560546875,242.7772979,2.0559328,17.193099975585938,0.049660999327898026,9.67020034790039,17.19849967956543,0.047600001096725464,0.08740100264549255,15.887999534606934,0.019999999552965164,0.9860000014305115,-0.024000000208616257,0.5461620092391968,0.005394000094383955,3.509999990463257,0.984000027179718,524.47900390625,2.1898300647735596,0.8062300086021423,0.8980000019073486,0.8169999718666077,0.255840003490448,0.23276400566101074,1.0991400480270386,0,0,0.9342859983444214,,,,1.0,17.197999954223633,0.060100000351667404,242.7773177,2.0559191,,,,,,,,,,,13.9877,,,,,,,,,,,,,,,,,,,,,,t17_f5_c3,,,,26.043100357055664,7.4166100603179075e-06,0.03906949982047081,,-0.01904270052909851,1.8627499230206013e-05,,,,,,,,,,,,1.00710111011501e+18
ZTF18aazxcwf,2,983172500115010008,2458737.6725,983172500115,19.167699813842773,/ztf/archive/sci/2019/0911/172500/ztf_20190911172500_000481_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,f,8,983,1,481,549.2860107421875,1671.4000244140625,242.7773113,2.0559225,16.954599380493164,0.055479999631643295,5.469279766082764,16.9325008392334,0.04280000180006027,0.08615399897098541,15.715999603271484,0.013000000268220901,0.5559999942779541,-0.008999999612569809,0.12779900431632996,-0.022123999893665314,3.3299999237060547,0.9829999804496765,549.2860107421875,2.2351601123809814,0.9024649858474731,0.9620000123977661,0.9179999828338623,0.28888899087905884,0.27567601203918457,1.0479300022125244,1,0,0.945713996887207,,,,1.0,16.97170066833496,0.05609999969601631,242.7773324,2.0559341,,,,,,,,,,,28.96,,,,,,,,,,,,,,,,,,,,,,t17_f5_c3,,,,26.003599166870117,4.4930598050996196e-06,0.03332100063562393,,0.10158800333738327,9.906880222843029e-06,,,,,,,,,,,,1.00710111011501e+18
ZTF18aazxcwf,2,995110890115015006,2458749.6108912,995110890115,19.198699951171875,/ztf/archive/sci/2019/0923/110729/ztf_20190923110729_000481_zr_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,t,6,995,1,481,586.9849853515625,1689.31005859375,242.7772208,2.0556622,18.71619987487793,0.17645899951457977,2.7570700645446777,19.217300415039062,0.38679999113082886,1.0450299978256226,15.715999603271484,0.013000000268220901,0.5559999942779541,-0.008999999612569809,1.177899956703186,0.5011289715766907,1.317870020866394,0.9929999709129333,586.9849853515625,-0.018557000905275345,2.0,0.5690000057220459,0.5410000085830688,0.43175700306892395,0.41051098704338074,1.051759958267212,7,0,0.6314290165901184,,,,0.7261540293693542,19.31529998779297,0.5368000268936157,242.7773324,2.0559341,,,,,,,,,,,5.59864,,,,,,,,,,,,,,,,,,,,,,t17_f5_c3,,,,25.998199462890625,3.8767898331570905e-06,0.030960800126194954,,0.0943911001086235,8.602940397395287e-06,,,,,,,,,,,,1.00710111011501e+18
ZTF18aazxcwf,2,1007109840115010001,2458761.6098495,1007109840115,19.545087814331055,ztf_20191005109850_000481_zr_c01_o_q2_scimrefdiffimg.fits,Kulkarni,1,f,1,1007,1,481,562.8283081054688,1682.1629638671875,242.7773263,2.0559444,17.118080139160156,0.0630846843123436,15.00377368927002,17.162599563598633,0.04859999939799309,0.046982210129499435,15.715999603271484,0.013000000268220901,0.5559999942779541,-0.008999999612569809,-0.1331191062927246,0.04451899975538254,2.5,0.9509999752044678,562.8283081054688,2.3824880123138428,0.9332972168922424,0.7960000038146973,0.6819999814033508,0.31839999556541443,0.2727999985218048,1.167155385017395,5,0,0.9171428680419922,-999.0,-999.0,null,0.9788139462471008,17.180200576782227,0.062300000339746475,242.7773324,2.0559341,16.336299896240234,15.764200210571289,15.859700202941895,15.782099723815918,0.9863690137863159,0.18690280616283417,99.0,140.0,2458281.7097801,2458761.6098495,9.08398342132568,0.0,1.1046242777316757e+17,1.104624278294091e+17,-999.0,-999.0,21.530799865722656,21.141399383544922,0.5295829772949219,20.596050262451172,1.1046242772208206e+17,-999.0,22.09309959411621,21.750499725341797,21.052600860595703,0.23689299821853638,24.886280059814453,6.0,481120201.0,2458187.037338,2458278.771412,15.0,t17_f5_c3,24.678218841552734,66.5503158569336,-41.87209701538086,25.994081497192383,2.4891000975912903e-06,0.0343639999628067,1680.0,0.09181199967861176,5.527000212168787e-06,-3.41999998454412e-06,26.047000885009766,0.5299999713897705,0.258186012506485,0.19788256287574768,80.27439880371094,15.810005187988281,13.423418998718262,30.0,0.9999761581420898,d6_m7,
ZTF18aazxcwf,1,1097547910115010011,2458852.0479167,1097547910115,18.471132278442383,ztf_20200103547917_000481_zg_c01_o_q2_scimrefdiffimg.fits,Kulkarni,1,f,11,1097,1,481,561.6494140625,1677.46044921875,242.777135,2.0559921,17.481109619140625,0.13582554459571838,1.6013578176498413,17.509300231933594,0.10010000318288803,0.6981905102729797,15.887999534606934,0.019999999552965164,0.9860000014305115,-0.024000000208616257,-1.0430959463119507,0.02819100022315979,2.078425168991089,0.800000011920929,561.6494140625,0.9618322253227234,2.0,1.2289999723434448,1.1720000505447388,0.5913130640983582,0.5638884902000427,1.0486347675323486,1,0,0.7542856931686401,-999.0,-999.0,null,1.0,17.47249984741211,0.1225999966263771,242.7773177,2.0559191,16.336299896240234,15.764200210571289,15.859700202941895,15.782099723815918,0.9863690137863159,0.7010614275932312,137.0,198.0,2458232.8361227,2458852.0479167,7.540367603302,0.0,1.1046242777316757e+17,1.104624278294091e+17,-999.0,-999.0,21.530799865722656,21.141399383544922,0.5295829772949219,21.229063034057617,1.1046242772208206e+17,-999.0,22.09309959411621,21.750499725341797,21.052600860595703,0.23689299821853638,24.4991455078125,6.0,481120101.0,2458203.876829,2458343.669433,15.0,t17_f5_c3,6.286830902099609,18.264379501342773,-11.977548599243164,25.099109649658203,5.87799986533355e-05,0.06380599737167358,672.0,-0.012612000107765198,0.00017369500710628927,-9.57000011112541e-05,25.0939998626709,0.49799999594688416,0.1866309940814972,0.7109223008155823,80.09241485595703,15.810005187988281,13.423418998718262,30.0,0.9420448541641235,d6_m7,
ZTF18aazxcwf,2,1100569180115010020,2458855.0691898,1100569180115,19.0312557220459,ztf_20200106569190_000481_zr_c01_o_q2_scimrefdiffimg.fits,Kulkarni,1,f,20,1100,1,481,587.1986083984375,1687.0511474609375,242.7772171,2.0559339,16.838499069213867,0.053202006965875626,6.141266822814941,16.894699096679688,0.02800000086426735,0.4094303250312805,15.715999603271484,0.013000000268220901,0.5559999942779541,-0.008999999612569809,-0.5191528797149658,0.05620099976658821,5.320000171661377,0.9829999804496765,587.1986083984375,2.1365559101104736,0.9759036302566528,1.6519999504089355,1.5529999732971191,0.3105263113975525,0.2919172942638397,1.0637476444244385,0,0,0.6014285683631897,-999.0,-999.0,null,1.0,16.90679931640625,0.03550000116229057,242.7773324,2.0559341,16.336299896240234,15.764200210571289,15.859700202941895,15.782099723815918,0.9863690137863159,0.34317535161972046,142.0,204.0,2458232.8361227,2458855.0691898,23.2368659973145,0.0,1.1046242777316757e+17,1.104624278294091e+17,-999.0,-999.0,21.530799865722656,21.141399383544922,0.5295829772949219,20.987184524536133,1.1046242772208206e+17,-999.0,22.09309959411621,21.750499725341797,21.052600860595703,0.23689299821853638,24.57109260559082,6.0,481120201.0,2458187.037338,2458278.771412,15.0,t17_f5_c3,14.18820858001709,56.881446838378906,-42.6932373046875,26.193498611450195,9.758899977896363e-06,0.0506879985332489,1336.0,0.09581899642944336,2.1231899154372513e-05,-1.3279999620863236e-05,26.24799919128418,0.5329999923706055,0.261588990688324,0.3519624173641205,80.30560302734375,15.810005187988281,13.423418998718262,30.0,0.9796661138534546,d6_m7,
ZTF18aazxcwf,1,1122541220115010018,2458877.0412269,1122541220115,20.512083053588867,ztf_20200128541227_000481_zg_c01_o_q2_scimrefdiffimg.fits,Kulkarni,1,f,18,1122,1,481,575.7924194335938,1685.512451171875,242.7773083,2.0558929,17.014387130737305,0.06460009515285492,80.4203109741211,16.9591007232666,0.01850000023841858,0.10194458812475204,15.887999534606934,0.019999999552965164,0.9860000014305115,-0.024000000208616257,-0.2639527916908264,-0.05528799816966057,2.700000047683716,0.9879999756813049,575.7924194335938,3.552982807159424,0.8898476958274841,0.7820000052452087,0.7160000205039978,0.28962963819503784,0.2651851773262024,1.0921788215637207,1,0,0.8999999761581421,-999.0,-999.0,null,1.0,16.932199478149414,0.021700000390410423,242.7773177,2.0559191,16.336299896240234,15.764200210571289,15.859700202941895,15.782099723815918,0.9863690137863159,0.018864305689930916,144.0,208.0,2458232.8361227,2458877.0412269,45.2403450012207,0.0,1.1046242777316757e+17,1.104624278294091e+17,-999.0,-999.0,21.530799865722656,21.141399383544922,0.5295829772949219,20.70225715637207,1.1046242772208206e+17,-999.0,22.09309959411621,21.750499725341797,21.052600860595703,0.23689299821853638,24.713905334472656,6.0,481120101.0,2458203.876829,2458343.669433,15.0,t17_f5_c3,118.34449005126953,211.6143035888672,-93.26981353759766,26.225387573242188,2.649999942150316e-06,0.029162000864744186,1670.0,-0.05403999984264374,5.897999926673947e-06,-3.6500000533123966e-06,26.19649887084961,0.5289999842643738,0.25805899500846863,0.00813194178044796,80.45854949951172,15.810005187988281,13.423418998718262,30.0,0.9999243021011353,d6_m7,
ZTF18aazxcwf,1,1125502380115010025,2458880.0023843,1125502380115,19.716617584228516,ztf_20200131502350_000481_zg_c01_o_q2_scimrefdiffimg.fits,Kulkarni,1,f,25,1125,1,481,570.839111328125,1684.6724853515625,242.7772624,2.0559181,17.172487258911133,0.05901278927922249,6.849148273468018,17.252700805664062,0.027499999850988388,0.20181643962860107,15.887999534606934,0.019999999552965164,0.9860000014305115,-0.024000000208616257,-0.10147210210561752,0.08021199703216553,5.329999923706055,0.9829999804496765,570.839111328125,2.4639182090759277,0.7881199717521667,1.3389999866485596,1.2410000562667847,0.2512195110321045,0.23283302783966064,1.0789685249328613,0,0,0.795714259147644,-999.0,-999.0,null,1.0,17.248600006103516,0.03350000083446503,242.7773177,2.0559191,16.336299896240234,15.764200210571289,15.859700202941895,15.782099723815918,0.9863690137863159,0.17121396958827972,145.0,211.0,2458232.8361227,2458880.0023843,38.1662101745605,0.0,1.1046242777316757e+17,1.104624278294091e+17,-999.0,-999.0,21.530799865722656,21.141399383544922,0.5295829772949219,20.841564178466797,1.1046242772208206e+17,-999.0,22.09309959411621,21.750499725341797,21.052600860595703,0.23689299821853638,24.652559280395508,6.0,481120101.0,2458203.876829,2458343.669433,15.0,t17_f5_c3,28.89749526977539,86.8320541381836,-57.9345588684082,26.16748809814453,7.528500191256171e-06,0.0392099991440773,1469.0,-0.029368000105023384,1.937689921760466e-05,-1.123000038205646e-05,26.152999877929688,0.5080000162124634,0.22896000742912292,0.18079370260238647,80.36497497558594,15.810005187988281,13.423418998718262,30.0,0.9998669624328613,d6_m7,
ZTF18aazxcwf,1,1122541220115020018,2458877.0412269,1122541220115,20.510099411010742,/ztf/archive/sci/2020/0128/541227/ztf_20200128541227_000481_zg_c01_o_q2_scimrefdiffimg.fits.fz,Kulkarni,1,f,18,1122,1,481,575.7930297851562,1685.510009765625,242.7773082,2.0558927,17.012300491333008,0.06466100364923477,80.5447006225586,16.95680046081543,0.01850000023841858,0.10287699848413467,15.887999534606934,0.019999999552965164,0.9860000014305115,-0.024000000208616257,-0.2620280086994171,-0.055493999272584915,2.700000047683716,0.9879999756813049,575.7930297851562,3.5533299446105957,0.889847993850708,0.7829999923706055,0.7160000205039978,0.28999999165534973,0.26518499851226807,1.0935800075531006,1,0,0.9014289975166321,,,,1.0,16.929500579833984,0.021700000390410423,242.7773177,2.0559191,,,,,,,,,,,45.3535,,,,,,,,,,,,,,,,,,,,,,t17_f5_c3,,,,26.225299835205078,2.6118500500160735e-06,0.025379100814461708,,-0.05329350009560585,5.8261298363504466e-06,,,,,,,,,,,,1.12550238011501e+18
